candidate_id,title,year,publisher,metadata_source,source_url,final_url,raw_sha256,text_sha256,text_words
MEDIA-012,Ramaphosa says negotiation was Marikana panacea,2014,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/negotiation-was-marikana-panacea-ramaphosa-2014-08-11,https://www.miningweekly.com/article/negotiation-was-marikana-panacea-ramaphosa-2014-08-11,fe6b4787445dc4dff28a7fa2443a7c0e45e20e529850e1ce6049cf47ccef5960,72879dbfd91cf18657f37b089c3f03461050102bdc1ebcbd2a96a4ed33060c6d,1003
MEDIA-013,Ramaphosa questioned about Marikana inaction,2014,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/ramaphosa-questioned-about-marikana-inaction-2014-08-12,https://www.miningweekly.com/article/ramaphosa-questioned-about-marikana-inaction-2014-08-12,d3faf6858b272e79b93d2fcaae1aa8fc439d7767848a4f0ec77bed1a9e35720f,194bd5ef0c4fab356f1d5287f4ae8026d01fd34522c2700c87fce67a21b09465,687
MEDIA-014,Lonmin affirms Farlam report,2015,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/lonmin-affirms-farlam-report-2015-08-21,https://www.miningweekly.com/article/lonmin-affirms-farlam-report-2015-08-21,064334924112b19e8237d1d39f2a6126b4d5bb408b29a1dc7f889d5c98e34743,7d7e821d7afd43a9ab350608562868c891ab5eaaac49b4866ba3ac248de19060,769
MEDIA-015,NUM welcomes further investigation recommendation defends member actions,2015,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/num-welcomes-further-investigation-recommendation-defends-member-actions-2015-06-26,https://www.miningweekly.com/article/num-welcomes-further-investigation-recommendation-defends-member-actions-2015-06-26,945aa1d340672f589eb1ac8c7a4caab31d420957c57ac7d49ce60ae40d1b685e,590987f83a53fa33dde196745ed896e7bcbf192d7a954baf53c4d3cf91163601,1205
MEDIA-016,Lonmin unveils design proposal for Marikana memorial park showcases new apartments,2017,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,c3e56772c677c3059c34184d189baa791029bf5dbf52f75c3669a47b98000250,da373ba2081666be4d0becae88df4728057bc7a58a96a9498f4427fde771a997,909
MEDIA-017,Six years on there is no accountability for the elite police unit shootings at Marikana Scene 2,2018,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2018-08-16-six-years-on-there-is-no-accountability-for-the-elite-police-unit-shootings-at-marikana-scene-2/,https://www.dailymaverick.co.za/article/2018-08-16-six-years-on-there-is-no-accountability-for-the-elite-police-unit-shootings-at-marikana-scene-2/,beb8c4a59021de0bc16845772d09a07ff890ff94b8d16889709100d075c204bf,6cfdce2ce3a789b738dbf0c8689dd8a7fb7395ed0201ad3d44d1829411759b00,1846
MEDIA-018,Sibanye hosts Marikana memorial lecture,2020,Mining Weekly,retrieval_manifest,https://www.miningweekly.com/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,https://www.miningweekly.com/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,b8db52667efd0275afddb9f7bb4a47ec1995f7faf08892ac8766c47538189f3b,d0287e54705dfc9ccf054bdf003e7ab908f14ead8315dae75e2f9dd42d8bea51,1156
MEDIA-019,Marikana: The unfolding of a never-ending tragedy,2021,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2021-08-14-marikana-the-unfolding-of-a-never-ending-tragedy/,https://www.dailymaverick.co.za/article/2021-08-14-marikana-the-unfolding-of-a-never-ending-tragedy/,cbd7ae6c74d3cc2e40d517e9cd0c2c77e6d5bb655ec5a7ecbb1a161bd997230d,a4028b0469f47c91edd08cf951e53adb7830645fb37608c81622fc07ae5c6aed,3077
MEDIA-020,Families of slain Marikana mine workers reflect on decade of betrayal,2022,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2022-08-15-marikana-families-of-slain-mineworkers-reflect-on-10-years-of-betrayal/,https://www.dailymaverick.co.za/article/2022-08-15-marikana-families-of-slain-mineworkers-reflect-on-10-years-of-betrayal/,f635443fe2aea027a90259670e6381175a6dd4d820cc96ac6f22ddf3fc40fe66,6ccb3b81face2a2553d834e1f45bf8271d2f1fde76c315de877313595d190a35,1455
MEDIA-021,The smell of blood comes back to me as I think of Marikana,2022,Daily Maverick,retrieval_manifest,https://www.dailymaverick.co.za/article/2022-08-15-the-smell-of-blood-comes-back-to-me-as-i-remember-sas-dark-day-in-a-north-west-village/,https://www.dailymaverick.co.za/article/2022-08-15-the-smell-of-blood-comes-back-to-me-as-i-remember-sas-dark-day-in-a-north-west-village/,a1809390615267df745e1420998aada1f5ffe01ae05d34c70780437f9caadbd2,8823b8e05ebbfa07a7abdf5b00cdd056c1b3e76983d284ce591408153e36d788,501
