candidate_id,title,year,publisher,url,final_url,original_text_sha256,targeted_fetch_status,targeted_fetch_error,publication_date_from_url,retrieved_text_words,retrieved_text_sha256,retrieved_lonmin_mentions,case_terms,case_mentions_total,event_terms,event_mentions_total,event_distinct_terms,social_terms,social_mentions_total,social_distinct_terms,corporate_terms,corporate_mentions_total,corporate_distinct_terms,early_aug_oct_2012_window,title_has_routine_corporate_signal,evidence_class,evidence_note,final_decision,final_reason_code,final_evidence_note
DISC-MEDIA-0402,Full Ownership Of Pandora Jv Set To Unlock Significant Potential For Lonmin,2018,Engineering News,https://www.engineeringnews.co.za/article/full-ownership-of-pandora-jv-set-to-unlock-significant-potential-for-lonmin-2018-01-19,https://www.engineeringnews.co.za/article/full-ownership-of-pandora-jv-set-to-unlock-significant-potential-for-lonmin-2018-01-19,fb225216f881f4b73cd58febf7830f5f3b4fa74e39be79d9290157eab194a9b1,retrieved_extracted,,2018-01-19,264,fb225216f881f4b73cd58febf7830f5f3b4fa74e39be79d9290157eab194a9b1,0,,0,,0,0,,0,0,earnings_results,2,1,false,false,ambiguous_low_signal,Signals are insufficient for a defensible decision.,,,
DISC-MEDIA-0403,Glencore To Divest Its Lonmin Stake,2015,Engineering News,https://www.engineeringnews.co.za/article/glencore-to-divest-its-lonmin-stake-2015-02-11,https://www.engineeringnews.co.za/article/glencore-to-divest-its-lonmin-stake-2015-02-11,db51b375abe313a4b27a986aab2ef90d80e29744b16ff8e01bb20860bdbe8ca1,retrieved_extracted,,2015-02-11,546,db51b375abe313a4b27a986aab2ef90d80e29744b16ff8e01bb20860bdbe8ca1,8,,0,,0,0,,0,0,share_price;earnings_results;production_output;transaction;commodity_market,18,5,false,true,strong_routine_corporate_signal,Routine corporate/financial/production title and text with minimal labour/community evidence and no case term.,,,
DISC-MEDIA-0409,Illegal Strike Erupts At Lonmin,2013,Engineering News,https://www.engineeringnews.co.za/article/illegal-strike-erupts-at-lonmin-2013-03-05,https://www.engineeringnews.co.za/article/illegal-strike-erupts-at-lonmin-2013-03-05,a8a4612f9b8c4555712a8f3100703a049fb9a11e19da37e3258f53d912d31da6,retrieved_extracted,,2013-03-05,951,a8a4612f9b8c4555712a8f3100703a049fb9a11e19da37e3258f53d912d31da6,16,,0,strike;worker_miner;union,22,3,,0,0,earnings_results;production_output;exploration_project,10,3,false,false,possible_substantive_case_context,Multiple labour/event or social/governance signals require direct substantive review.,,,
DISC-MEDIA-0418,Lonmin Aims For May 14 Restart In Challenge To Platinum Strike,2014,Engineering News,https://www.engineeringnews.co.za/article/lonmin-aims-for-may-14-restart-in-challenge-to-platinum-strike-2014-05-09,https://www.engineeringnews.co.za/article/lonmin-aims-for-may-14-restart-in-challenge-to-platinum-strike-2014-05-09,021d81f4b5a6ae8e5f26d4a078d9849d64a23f55ca5eefaa7e089ebda5e9592b,retrieved_extracted,,2014-05-09,812,021d81f4b5a6ae8e5f26d4a078d9849d64a23f55ca5eefaa7e089ebda5e9592b,4,,0,strike;worker_miner;wage;union;protest_unrest,24,5,housing,1,1,earnings_results,2,1,false,false,possible_substantive_case_context,Multiple labour/event or social/governance signals require direct substantive review.,,,
DISC-MEDIA-0420,Lonmin Amcu Fail To Reach Agreement On Union Recognition,2013,Engineering News,https://www.engineeringnews.co.za/article/lonmin-amcu-fail-to-reach-agreement-on-union-recognition-2013-05-22,https://www.engineeringnews.co.za/article/lonmin-amcu-fail-to-reach-agreement-on-union-recognition-2013-05-22,f624711301a02c99bb8ca9d9d25195a415277fe8e2dca035b1b94abf2f997e67,retrieved_extracted,,2013-05-22,569,f624711301a02c99bb8ca9d9d25195a415277fe8e2dca035b1b94abf2f997e67,7,,0,worker_miner;wage;union,16,3,community;commission_inquiry,2,2,earnings_results,2,1,false,false,possible_substantive_case_context,Multiple labour/event or social/governance signals require direct substantive review.,,,
DISC-MEDIA-0421,Lonmin Appoints Coo To Board,2015,Engineering News,https://www.engineeringnews.co.za/article/lonmin-appoints-coo-to-board-2015-06-25,https://www.engineeringnews.co.za/article/lonmin-appoints-coo-to-board-2015-06-25,f2ffbb021f8d900a3b3c5fa0bfcd042ddecd350c4c253fe8e923293c04abac40,retrieved_extracted,,2015-06-25,446,f2ffbb021f8d900a3b3c5fa0bfcd042ddecd350c4c253fe8e923293c04abac40,5,,0,worker_miner,1,1,,0,0,earnings_results;production_output,3,2,false,false,ambiguous_low_signal,Signals are insufficient for a defensible decision.,,,
DISC-MEDIA-0422,Lonmin Appoints New Cfo,2016,Engineering News,https://www.engineeringnews.co.za/article/lonmin-appoints-new-cfo-2016-04-19,https://www.engineeringnews.co.za/article/lonmin-appoints-new-cfo-2016-04-19,d1520cb8b1eec39f606bdb67a9241c448d3f268d9f8171731d23fb5d21062b3b,retrieved_extracted,,2016-04-19,493,d1520cb8b1eec39f606bdb67a9241c448d3f268d9f8171731d23fb5d21062b3b,6,,0,worker_miner,1,1,,0,0,share_price;earnings_results,4,2,false,false,ambiguous_low_signal,Signals are insufficient for a defensible decision.,,,
DISC-MEDIA-0426,Lonmin Brings Number One Furnace Back Online,2015,Engineering News,https://www.engineeringnews.co.za/article/lonmin-brings-number-one-furnace-back-online-2015-03-10,https://www.engineeringnews.co.za/article/lonmin-brings-number-one-furnace-back-online-2015-03-10,949be0bef48b5da4f16e15b48dce03c63dbd2c3a5734ddb74ba0f8375462a718,retrieved_extracted,,2015-03-10,405,949be0bef48b5da4f16e15b48dce03c63dbd2c3a5734ddb74ba0f8375462a718,3,,0,worker_miner,2,1,,0,0,earnings_results;exploration_project,8,2,false,true,strong_routine_corporate_signal,Routine corporate/financial/production title and text with minimal labour/community evidence and no case term.,,,
DISC-MEDIA-0427,Lonmin Buys Amplats Pandora Platinum Stake Lets Out Concentrator,2016,Engineering News,https://www.engineeringnews.co.za/article/lonmin-buys-amplats-pandora-platinum-stake-lets-out-concentrator-2016-11-11,https://www.engineeringnews.co.za/article/lonmin-buys-amplats-pandora-platinum-stake-lets-out-concentrator-2016-11-11,f888cf4ea6935f893d96dc55979fd9b35ab1561d4ba8c9dc23cbeaf2499056ca,retrieved_extracted,,2016-11-11,642,f888cf4ea6935f893d96dc55979fd9b35ab1561d4ba8c9dc23cbeaf2499056ca,10,,0,wage,1,1,,0,0,earnings_results;production_output;transaction,6,3,false,true,strong_routine_corporate_signal,Routine corporate/financial/production title and text with minimal labour/community evidence and no case term.,,,
DISC-MEDIA-0430,Lonmin Ceo Confident In New Chairperson As Phillimore Set To Exit,2014,Engineering News,https://www.engineeringnews.co.za/article/lonmin-ceo-confident-in-new-chairperson-as-phillimore-set-to-exit-2014-03-31,https://www.engineeringnews.co.za/article/lonmin-ceo-confident-in-new-chairperson-as-phillimore-set-to-exit-2014-03-31,929d7d26f41d29afbaa57f995dc87006588c0862a3c255de5df12da604e8280c,retrieved_extracted,,2014-03-31,470,929d7d26f41d29afbaa57f995dc87006588c0862a3c255de5df12da604e8280c,5,,0,,0,0,,0,0,earnings_results,2,1,false,false,ambiguous_low_signal,Signals are insufficient for a defensible decision.,,,
