record_id_a,record_id_b,title_a,title_b,url_a,url_b,candidate_signal,fresh_status_a,fresh_status_b,fresh_words_a,fresh_words_b,fresh_sha256_a,fresh_sha256_b,extractor_a,extractor_b,fresh_hash_collision_a,fresh_hash_collision_b,sequence_similarity,token_set_jaccard,five_word_shingle_jaccard,text_evidence_signal,final_duplicate_decision,final_duplicate_reason
expanded_media_candidates__EXP-MEDIA-008,DISC-MEDIA-0658,Solidarity gears up for Lonmin strike,Solidarity Gears Up For Lonmin Strike,https://www.miningweekly.com/article/solidarity-gears-up-for-lonmin-strike-2013-08-19,https://www.engineeringnews.co.za/article/solidarity-gears-up-for-lonmin-strike-2013-08-19,exact_normalised_title,retrieved_extracted,retrieved_extracted,603,603,2187cc93a83577be13daa94632fe9c80609d68aae7297e3b6eac5f0d61d87bdd,2187cc93a83577be13daa94632fe9c80609d68aae7297e3b6eac5f0d61d87bdd,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates__EXP-MEDIA-010,DISC-MEDIA-0573,Marikana report to Zuma by Tuesday,Marikana Report To Zuma By Tuesday,https://www.miningweekly.com/article/marikana-report-to-zuma-by-tuesday-2015-03-30,https://www.engineeringnews.co.za/article/marikana-report-to-zuma-by-tuesday-2015-03-30,exact_normalised_title,retrieved_extracted,retrieved_extracted,495,495,28163256eb840f5c0763fce243053adbc7f83e4a02b1a1c5c56939132ba845b5,28163256eb840f5c0763fce243053adbc7f83e4a02b1a1c5c56939132ba845b5,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates_batch1__EXP-MEDIA-030,DISC-MEDIA-0373,"AMCU to serve strike notice on Lonmin, Implats",Amcu To Serve Strike Notice On Lonmin Implats,https://www.miningweekly.com/article/amcu-to-serve-strike-notice-on-lonmin-implats-2014-01-17,https://www.engineeringnews.co.za/article/amcu-to-serve-strike-notice-on-lonmin-implats-2014-01-17,exact_normalised_title,retrieved_extracted,retrieved_extracted,516,516,0428e5267a1b4c084f80514d1cb0fabb7bf4f698866f12ffd9d84518111546b8,0428e5267a1b4c084f80514d1cb0fabb7bf4f698866f12ffd9d84518111546b8,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates_batch1__EXP-MEDIA-033,DISC-MEDIA-0418,Lonmin aims for May 14 restart in challenge to platinum strike,Lonmin Aims For May 14 Restart In Challenge To Platinum Strike,https://www.miningweekly.com/article/lonmin-aims-for-may-14-restart-in-challenge-to-platinum-strike-2014-05-09,https://www.engineeringnews.co.za/article/lonmin-aims-for-may-14-restart-in-challenge-to-platinum-strike-2014-05-09,exact_normalised_title,retrieved_extracted,retrieved_extracted,812,812,b4207285d5fd502b3741b3fdf2c33f08dcba288c0ee9c87031582b64f9f0482f,b4207285d5fd502b3741b3fdf2c33f08dcba288c0ee9c87031582b64f9f0482f,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates_batch1__EXP-MEDIA-034,DISC-MEDIA-0680,"Uphold overwhelming wish of workers to return, pleads Lonmin",Uphold Overwhelming Wish Of Workers To Return Pleads Lonmin,https://www.miningweekly.com/article/uphold-overwhelming-wish-of-workers-to-return-pleads-lonmin-2014-05-12,https://www.engineeringnews.co.za/article/uphold-overwhelming-wish-of-workers-to-return-pleads-lonmin-2014-05-12,exact_normalised_title,retrieved_extracted,retrieved_extracted,1890,1890,04b628f9c3614ad31642f11721a17ee868a1d7faf5c02d271c90c5c557204e9c,04b628f9c3614ad31642f11721a17ee868a1d7faf5c02d271c90c5c557204e9c,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates_batch1__EXP-MEDIA-037,DISC-MEDIA-0417,Lonmin accused of prolonging platinum strike by hiding revenue,Lonmin Accused Of Prolonging Platinum Strike By Hiding Revenue,https://www.miningweekly.com/article/lonmin-accused-of-prolonging-platinum-strike-by-hiding-revenue-2014-10-24,https://www.engineeringnews.co.za/article/lonmin-accused-of-prolonging-platinum-strike-by-hiding-revenue-2014-10-24,exact_normalised_title,retrieved_extracted,retrieved_extracted,757,757,8c4763d27d707c437cd722a3389a3d2ea1d2b93d96fe60ab395d7c8cb268e24f,8c4763d27d707c437cd722a3389a3d2ea1d2b93d96fe60ab395d7c8cb268e24f,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates_batch1__EXP-MEDIA-038,DISC-MEDIA-0456,Lonmin hands over New Marikana primary school to Basic Education dept,Lonmin Hands Over New Marikana Primary School To Basic Education Dept,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-04-06,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-03-23,exact_normalised_title,retrieved_extracted,retrieved_extracted,649,660,45f95751bb7ff20d487df496711462e51f5e3ca642dffab9a88a38e9474f1a4d,15124f2b4f9072568eb6dcc584d5b9b96c99f36efa0bf173dfc3f3cf4d0ce671,trafilatura,trafilatura,false,false,0.968567,0.927632,0.739065,high_text_similarity_republication_review,,
expanded_media_candidates_batch2__EXP-MEDIA-046,DISC-MEDIA-0435,Lonmin committed to R500m expenditure on employee apartments,Lonmin Committed To R500M Expenditure On Employee Apartments,https://www.miningweekly.com/article/lonmin-committed-to-r500m-expenditure-on-employee-apartments-2017-04-07,https://www.engineeringnews.co.za/article/lonmin-committed-to-r500m-expenditure-on-employee-apartments-2017-04-07,exact_normalised_title,retrieved_extracted,retrieved_extracted,1276,1276,701d21245cb7403a66f79caf92397450cf761e788999de8450d1ed59ed6ff5e8,701d21245cb7403a66f79caf92397450cf761e788999de8450d1ed59ed6ff5e8,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates_batch2__EXP-MEDIA-047,DISC-MEDIA-0681,Violent protestors demand 1 500 new jobs from struggling Lonmin,Violent Protestors Demand 1 500 New Jobs From Struggling Lonmin,https://www.miningweekly.com/article/violent-protestors-demand-1-500-new-jobs-from-struggling-lonmin-2017-05-11,https://www.engineeringnews.co.za/article/violent-protestors-demand-1-500-new-jobs-from-struggling-lonmin-2017-05-11,exact_normalised_title,retrieved_extracted,retrieved_extracted,1161,1161,35b8fd10a68d40c88c1bff43b413d8acf9423e2f2305902c024a0aa99cd00cb9,35b8fd10a68d40c88c1bff43b413d8acf9423e2f2305902c024a0aa99cd00cb9,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
expanded_media_candidates_batch2__EXP-MEDIA-050,DISC-MEDIA-0438,Lonmin community wants operations suspended on social failings,Lonmin Community Wants Operations Suspended On Social Failings,https://www.miningweekly.com/article/lonmin-community-wants-operations-suspended-on-social-failings-2017-10-25,https://www.engineeringnews.co.za/article/lonmin-community-wants-operations-suspended-on-social-failings-2017-10-25,exact_normalised_title,retrieved_extracted,retrieved_extracted,616,616,e6bc1f663cffaa7cb57b1cad9988cbc9fa661b28d2fbe2e6244a0668c453dbc3,e6bc1f663cffaa7cb57b1cad9988cbc9fa661b28d2fbe2e6244a0668c453dbc3,trafilatura,trafilatura,false,false,1.000000,1.000000,1.000000,very_high_text_similarity_republication_likely,,
SAT-MEDIA-013,DISC-MEDIA-0637,Sibanye files court papers to oppose application to halt R5.2bn Lonmin merger,Sibanye Files Court Papers To Oppose Application To Halt R52Bn Lonmin Merger,https://www.miningweekly.com/article/sibanye-files-court-papers-to-oppose-application-to-halt-r52bn-lonmin-merger-2019-08-02,https://www.engineeringnews.co.za/article/sibanye-files-court-papers-to-oppose-application-to-halt-r52bn-lonmin-merger-2019-08-02,very_high_slug_similarity,retrieved_extracted,retrieved_extracted,875,875,c6ff42daff5e93172451b00f4c15cb581c0dd24bd9731e52f59ef9599023d588,c6ff42daff5e93172451b00f4c15cb581c0dd24bd9731e52f59ef9599023d588,trafilatura,trafilatura,true,true,,,,extraction_collision_blocks_text_similarity,,
expanded_media_candidates__EXP-MEDIA-001,DISC-MEDIA-0412,It's business unusual at 'improving' Lonmin – Munroe,Its Business Unusual At Improving Lonmin Munroe,https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,https://www.engineeringnews.co.za/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-05,very_high_slug_similarity,retrieved_extracted,retrieved_extracted,1644,1652,48d28e7773c871ee3ba93ce9b5966aa11c104742062a4d78bfd0102c5e21985f,15c84d05b2fb2153671ef02d2fdc917719b2aef91a0492d44a84cb2cb5cabf76,trafilatura,trafilatura,false,false,0.989186,0.977679,0.866151,high_text_similarity_republication_review,,
expanded_media_candidates_02__EXP-MEDIA-038,DISC-MEDIA-0366,"AMCU, Lonmin find strike-averting meeting point?",Amcu Lonmin Find Strike Averting Meeting Point Deputy President,https://www.miningweekly.com/article/amcu-lonmin-find-strike-averting-meeting-point-deputy-president-2013-06-21,https://www.engineeringnews.co.za/article/amcu-lonmin-find-strike-averting-meeting-point-deputy-president-2013-06-21,very_high_slug_similarity,retrieved_extracted,retrieved_extracted,1132,1132,84b9e8ffd5341fe8cdc1ce4ba83f33ff36eaf3658b2591589769d7a3166ee77e,84b9e8ffd5341fe8cdc1ce4ba83f33ff36eaf3658b2591589769d7a3166ee77e,trafilatura,trafilatura,true,true,,,,extraction_collision_blocks_text_similarity,,
MEDIA-050,DISC-MEDIA-0624,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,Rustenburg Communities Want Concourt To Set Aside Sibanyes Lonmin Takeover,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,https://www.engineeringnews.co.za/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,high_title_similarity,retrieved_extracted,retrieved_extracted,768,768,ffd12c07e9fdc2a758d46f913bde848a4c4a3ede3b3a5c56a13f3aa8eb954339,ffd12c07e9fdc2a758d46f913bde848a4c4a3ede3b3a5c56a13f3aa8eb954339,trafilatura,trafilatura,true,true,,,,extraction_collision_blocks_text_similarity,,
MEDIA-044,DISC-MEDIA-0523,Lonmin transaction filed with South Africa's competition authority,Lonmin Transaction Filed With South Africas Competition Authority,https://www.miningweekly.com/article/lonmin-transaction-filed-with-south-africas-competition-body-2018-03-30,https://www.engineeringnews.co.za/article/lonmin-transaction-filed-with-south-africas-competition-authority-2018-03-16,high_title_similarity,retrieved_extracted,retrieved_extracted,461,472,373db119d41fe79ab61ac435dd5685c428b6952df8a70b02c2e4c54dccbc5b55,21bdb967d80e293dd484ac38e3c87134080a3e6d5b7105c37f17fe359a5f5c4f,trafilatura,trafilatura,false,false,0.975987,0.927602,0.820093,high_text_similarity_republication_review,,
expanded_media_candidates_02__EXP-MEDIA-041,DISC-MEDIA-0515,"Lonmin to lose 3 100 oz/d, Implats 2 800 oz/d in production owing to AMCU strike",Lonmin To Lose 3 100 Ozd Implats 2 800 Ozd In Production Owing To Amcu Strike,https://www.miningweekly.com/article/lonmin-to-lose-3-100-ozd-implats-2-800-ozd-in-production-owing-to-amcu-strike-2014-01-23,https://www.engineeringnews.co.za/article/lonmin-to-lose-3-100-ozd-implats-2-800-ozd-in-production-owing-to-amcu-strike-2014-01-23,high_title_similarity,retrieved_extracted,retrieved_extracted,606,606,0dcc2364bc7d0fb0cc885e3d93b1c0d4acc88d59150c0e43943ea6baa7a117b1,0dcc2364bc7d0fb0cc885e3d93b1c0d4acc88d59150c0e43943ea6baa7a117b1,trafilatura,trafilatura,true,true,,,,extraction_collision_blocks_text_similarity,,
DISC-MEDIA-0387,DISC-MEDIA-0388,Community Members Accelerate Bid Against Key R564M Lonmin Bee Deal,Community Members Accelerate Bid Against R564M Lonmin Bee Deal,https://www.engineeringnews.co.za/article/community-members-accelerate-bid-against-key-r564m-lonmin-bee-deal-2015-06-11,https://www.engineeringnews.co.za/article/community-members-accelerate-bid-against-r564m-lonmin-bee-deal-2015-06-19,high_title_similarity,retrieved_extracted,retrieved_extracted,1303,1300,3f3394fff716a7b2b1689a8745ab6434070a1e17a16f3a6c8faecdfa050f4efd,78c6d075eef366bb25e9f9132aa82335df2fef23fbfa24d29c616e20031bece7,trafilatura,trafilatura,false,false,0.989461,0.967807,0.859014,high_text_similarity_republication_review,,
