record_id,source_phase,title,year,publisher,url,fetch_status,fetch_error,extraction_method,fresh_words,fresh_sha256,global_extraction_collision,usable_for_textwide_similarity
MEDIA-013,prior_screened_300,Ramaphosa questioned about Marikana inaction,2014,Mining Weekly,https://www.miningweekly.com/article/ramaphosa-questioned-about-marikana-inaction-2014-08-12,retrieved_extracted,,trafilatura,685,87c2c133ce0dc0507a07535330aa446b14d1ae5acfeec7d4abb2572ee6faa0ef,false,true
MEDIA-014,prior_screened_300,Lonmin affirms Farlam report,2015,Mining Weekly,https://www.miningweekly.com/article/lonmin-affirms-farlam-report-2015-08-21,retrieved_extracted,,trafilatura,767,007352323215d8e01db01c88a6bd31ea4c328fe3eb372205db01c2a2f17233f5,false,true
MEDIA-015,prior_screened_300,NUM welcomes further investigation recommendation defends member actions,2015,Mining Weekly,https://www.miningweekly.com/article/num-welcomes-further-investigation-recommendation-defends-member-actions-2015-06-26,retrieved_extracted,,trafilatura,1203,6b01d6937c40c3c8092c2af5bbb47b310ec608544f78992ae0c0c7274559a227,false,true
MEDIA-016,prior_screened_300,Lonmin unveils design proposal for Marikana memorial park showcases new apartments,2017,Mining Weekly,https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,retrieved_extracted,,trafilatura,907,c4e7db0801cbcbe986814952268d6ffdb185cfbcc4e426e0f577cf811a162255,false,true
MEDIA-017,prior_screened_300,Six years on there is no accountability for the elite police unit shootings at Marikana Scene 2,2018,Daily Maverick,https://www.dailymaverick.co.za/article/2018-08-16-six-years-on-there-is-no-accountability-for-the-elite-police-unit-shootings-at-marikana-scene-2/,retrieved_extracted,,trafilatura,1846,d89e1c49a67208866c7f3147f9f52ee32f4c41f7648b88a4cc155c8fea6dbfa7,false,true
MEDIA-018,prior_screened_300,Sibanye hosts Marikana memorial lecture,2020,Mining Weekly,https://www.miningweekly.com/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,retrieved_extracted,,trafilatura,1154,7672c7413f01d66b9fb8e65449e7d891417606ca0069e1e1d05c3a0771f650cd,false,true
MEDIA-019,prior_screened_300,Marikana: The unfolding of a never-ending tragedy,2021,Daily Maverick,https://www.dailymaverick.co.za/article/2021-08-14-marikana-the-unfolding-of-a-never-ending-tragedy/,retrieved_extracted,,trafilatura,3077,7f09169d4f87fd79f05e134f171e9cba688791706656c5bbf6ca2dfd6a9c2e32,false,true
MEDIA-020,prior_screened_300,Families of slain Marikana mine workers reflect on decade of betrayal,2022,Daily Maverick,https://www.dailymaverick.co.za/article/2022-08-15-marikana-families-of-slain-mineworkers-reflect-on-10-years-of-betrayal/,retrieved_extracted,,trafilatura,1455,f95c88ec16c15348a5e9ce6988f25d6beec7016b38526b8c8351fdc46df976c4,false,true
MEDIA-021,prior_screened_300,The smell of blood comes back to me as I think of Marikana,2022,Daily Maverick,https://www.dailymaverick.co.za/article/2022-08-15-the-smell-of-blood-comes-back-to-me-as-i-remember-sas-dark-day-in-a-north-west-village/,retrieved_extracted,,trafilatura,501,54c301fe0ab64b925f96965a14fcb33e40b0b0d9b296c3a6dc770286651daa57,false,true
MEDIA-022,prior_screened_300,"Lonmin Q1 2014 mining production down 10%, will revise full-year guidance as result of strikes",2014,Mining Weekly,https://www.miningweekly.com/article/lonmin-q1-2014-mining-production-down-10-will-revise-full-year-guidance-as-result-of-strikes-2014-01-30,retrieved_extracted,,trafilatura,822,59b0e1f282564aa0649c2b0d0ab9af66deccf7af3f3f059ffc6a65b2b98525e8,false,true
MEDIA-023,prior_screened_300,AMCU members defy call to return to work,2014,Engineering News,https://www.engineeringnews.co.za/article/amcu-members-defy-call-to-return-to-work-2014-05-14,retrieved_extracted,,trafilatura,543,b9be85cbe2acd04480c3a1b34f8962c687c61bc6f4c5f89ca24bc7c3c77f3673,false,true
MEDIA-024,prior_screened_300,"Lonmin, AMCU celebrate finalisation of landmark BEE equity deal",2014,Mining Weekly,https://www.miningweekly.com/article/lonmin-amcu-celebrate-finalisation-of-landmark-bee-equity-deal-2014-12-12,retrieved_extracted,,trafilatura,962,13c4f16fd4fdbc0e246ac816784057e08112a5e2962e047bb870e2f00a4ed2ec,false,true
MEDIA-025,prior_screened_300,"Farlam wants workers housed, Mining Charter goes to court, coal firms transform for Eskom",2015,Mining Weekly,https://www.miningweekly.com/article/farlam-wants-workers-housed-mining-charter-goes-to-court-coal-firms-transform-for-eskom-2015-06-26,retrieved_extracted,,trafilatura,854,544d6cd8ce53507cd303b8ceb45b769f69c3067daddd7af006604751cf4949a8,false,true
MEDIA-026,prior_screened_300,"Lonmin cuts workforce, shrinks capex, lowers unit costs",2015,Mining Weekly,https://www.miningweekly.com/article/lonmin-cuts-workforce-shrinks-capex-lowers-unit-costs-2015-11-13,retrieved_extracted,,trafilatura,866,1857d97b03ca3ee49d239d7f7f16114f451ae22af8a1909b33374b40ac80e33e,false,true
MEDIA-027,prior_screened_300,Corobrik's quality face bricks used in the construction of Marikana's housing project,2016,Engineering News,https://www.engineeringnews.co.za/article/corobriks-quality-face-bricks-used-in-the-construction-of-marikanas-housing-project-2016-05-23,retrieved_extracted,,trafilatura,765,5568ca42132bea8aae1e25d6e031d379593c87f8b0ead4302a10fd2d9f8c86eb,false,true
MEDIA-028,prior_screened_300,"Objectives are to cut fixed costs, minimise capex, up efficiencies",2017,Mining Weekly,https://www.miningweekly.com/article/objectives-are-to-cut-fixed-costs-minimise-capex-up-efficiencies-2017-04-07,retrieved_extracted,,trafilatura,793,63eb6dab3a9db88331e0b4dd801b94e51129b171cf3d591fcf06b863e11e2050,false,true
MEDIA-029,prior_screened_300,The lost platinum sector jobs are not coming back,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-10-24-the-lost-platinum-sector-jobs-are-not-coming-back/,retrieved_extracted,,trafilatura,1303,1c0a5711e3a5fe9cf99d9c6ebac9f05708b7235000681d54a1caa70f39d9b6ad,false,true
MEDIA-030,prior_screened_300,"One decade on, the Marikana mine has seen a turnaround in fortunes and is making a punchy profit",2022,Daily Maverick,https://www.dailymaverick.co.za/article/2022-08-14-one-decade-on-the-marikana-mine-has-seen-a-turnaround-in-fortunes-and-is-making-a-punchy-profit/,retrieved_extracted,,trafilatura,829,d1bcdcaeaf3aed2fda228c83d7feb10e646c830a69c05fb497672f738f631390,false,true
MEDIA-031,prior_screened_300,Lonmin donates 50 ha of land for residential development,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,retrieved_extracted,,trafilatura,605,07377bb13e65af406c0ea218a3dd019905ee6637c712071a437187de56d062e3,false,true
MEDIA-032,prior_screened_300,80 000 AMCU workers on strike in platinum sector,2014,Mining Weekly,https://www.miningweekly.com/article/80-000-amcu-workers-on-strike-in-platinum-sector-2014-01-23,retrieved_extracted,,trafilatura,1229,1a218aca40020f9714c1744f65370899a56f961d5929a2ad1b18aedb125893bf,false,true
MEDIA-033,prior_screened_300,Strike-hit mothers have no food to put on the table – Lonmin,2014,Mining Weekly,https://www.miningweekly.com/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,retrieved_extracted,,trafilatura,1284,9a1a0b9ffe779d6be6db35bcad604ff43697af950d937cc94e7533bead6468e3,false,true
MEDIA-034,prior_screened_300,Miners regress on ARV treatment – Lonmin,2014,Mining Weekly,https://www.miningweekly.com/article/miners-regress-on-arv-treatment-lonmin-2014-04-14,retrieved_extracted,,trafilatura,624,7da8403e80798c715e9e0cf1874c8d8f645317f331115875dd5b6bfef4f3ee0f,false,true
MEDIA-035,prior_screened_300,"AMCU opens strike fund for members, calls for donations",2014,Mining Weekly,https://www.miningweekly.com/article/amcu-opens-strike-fund-for-members-calls-for-donations-2014-04-15,retrieved_extracted,,trafilatura,681,7a4a219605fb8264a9a2b574a8d45c49b16faad2d38f24c01680e073ba8d9941,false,true
MEDIA-036,prior_screened_300,AMCU considering all options – negotiator,2014,Mining Weekly,https://www.miningweekly.com/article/amcu-considering-all-options-negotiator-2014-05-29,retrieved_extracted,,trafilatura,742,3d928ee2f5aaeddabc517084dc7d5583a55546f3654bbbf6ebf0b90647a1334e,false,true
MEDIA-037,prior_screened_300,Housing Miners,2014,Mining Weekly,https://www.miningweekly.com/article/housing-miners-2014-11-11,retrieved_extracted,,trafilatura,1746,15151c25233bed58b6e0883d34d375b7b1b202913f80fa0d8a0e649f0ef81a8b,false,true
MEDIA-038,prior_screened_300,"AMCU stands firm on R12 500 demand, Lonmin calls on union to reconsider 9%",2014,Mining Weekly,https://www.miningweekly.com/article/amcu-stands-firm-on-r12-500-demand-lonmin-calls-on-union-to-reconsider-9-2014-04-03,retrieved_extracted,,trafilatura,812,acdd9b04667d637c52339362aa40693424ccb22411b4b6135078d154b5fa01ac,false,true
