record_id_a,record_id_b,title_a,title_b,year_a,year_b,publisher_a,publisher_b,url_a,url_b,host_a,host_b,analysis_ready_a,analysis_ready_b,text_sha256_a,text_sha256_b,same_trusted_hash,same_normalised_title,title_sequence_similarity,title_token_jaccard,slug_sequence_similarity,same_host,creamer_cross_site,candidate_signal,block_reasons,review_decision
expanded_media_candidates_02__EXP-MEDIA-052,DISC-MEDIA-0683,"We made significant progress in Marikana, says Lonmin",We Made Significant Progress In Marikana Says Lonmin,2018,2018,Mining Weekly,Engineering News,https://www.miningweekly.com/article/we-made-significant-progress-in-marikana-says-lonmin-2018-08-15,https://www.engineeringnews.co.za/article/we-made-significant-progress-in-marikana-says-lonmin-2018-08-15,miningweekly.com,engineeringnews.co.za,true,true,0286b2125915133685906c29bc058ea8e3002af6dd69e993d4a4d4395825002e,597bf4ef0292e6af3750a0eeb7d946070cc0a451c394c2160b40f4aed78539f4,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates__EXP-MEDIA-002,DISC-MEDIA-0416,Lonmin accelerates union recognition process to ease Marikana tensions,Lonmin Accelerates Union Recognition Process To Ease Marikana Tensions,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-accelerates-union-recognition-process-to-ease-marikana-tensions-2013-05-17,https://www.engineeringnews.co.za/article/lonmin-accelerates-union-recognition-process-to-ease-marikana-tensions-2013-05-17,miningweekly.com,engineeringnews.co.za,true,true,61f50753486dabdbcc023537304b381b492b0bec72b8a22bf746d16b3c61c268,d455bf5a260bba4f231a999fd44580c03e6bedeea90c8ae27216bf82a75a300d,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates__EXP-MEDIA-003,DISC-MEDIA-0514,Lonmin to derecognise smaller unions in favour of AMCU,Lonmin To Derecognise Smaller Unions In Favour Of Amcu,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-23,https://www.engineeringnews.co.za/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-14,miningweekly.com,engineeringnews.co.za,true,true,a0ac1cdffa5fe26d47c2c621ce789456afc6aa1b5d583d72c1979254dc40100a,1cf4a827ead5f48a877c8a05883fde5ec661dd5d49be75bfcb8477e55937e97f,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates__EXP-MEDIA-004,DISC-MEDIA-0596,NUM wants members at Lonmin back,Num Wants Members At Lonmin Back,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/num-wants-members-at-lonmin-back-2013-07-11,https://www.engineeringnews.co.za/article/num-wants-members-at-lonmin-back-2013-07-11,miningweekly.com,engineeringnews.co.za,true,true,842da6df9a802193103c4ba60e9cd107231db88b36236aeafaab9c14d983fc77,d404a4c9e124e1d3b0d69844cd268bf57dd2208377ac051fd85bcf3e79f1e603,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates__EXP-MEDIA-005,DISC-MEDIA-0592,NUM member gunned down at Lonmin hostel,Num Member Gunned Down At Lonmin Hostel,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/num-member-gunned-down-at-lonmin-hostel-2013-06-03,https://www.engineeringnews.co.za/article/num-member-gunned-down-at-lonmin-hostel-2013-06-03,miningweekly.com,engineeringnews.co.za,true,true,51cbe56ff22f5e3b0b3e2aef29ed5a498d690ef3022e26b10af2a216582c372f,cae0ab0f706a29c799b2d52227b82dc7b35889a88bcb72f9243327b2cef93464,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates__EXP-MEDIA-007,DISC-MEDIA-0679,Union puts chamber on spot over alleged Lonmin breach,Union Puts Chamber On Spot Over Alleged Lonmin Breach,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-09-06,https://www.engineeringnews.co.za/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-08-26,miningweekly.com,engineeringnews.co.za,true,true,5514197e59e61e2a6b404294af115e5bd01688436ff578b7bf8f125ca30925e9,bb5e22137754d5669e142c5ee06507f6ba95eab31c2201387514e63314cebaf5,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates__EXP-MEDIA-008,DISC-MEDIA-0658,Solidarity gears up for Lonmin strike,Solidarity Gears Up For Lonmin Strike,2013,2013,Mining Weekly,Engineering News,https://www.miningweekly.com/article/solidarity-gears-up-for-lonmin-strike-2013-08-19,https://www.engineeringnews.co.za/article/solidarity-gears-up-for-lonmin-strike-2013-08-19,miningweekly.com,engineeringnews.co.za,true,true,938cc080fd5f0ff94637d01f410c63ea00e7941dfba6f935d2ee09925dac035b,1b88cc2f5e445540a24832008eb395a200480a3317463ff354f83dcd0786ca9b,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates__EXP-MEDIA-010,DISC-MEDIA-0573,Marikana report to Zuma by Tuesday,Marikana Report To Zuma By Tuesday,2015,2015,Mining Weekly,Engineering News,https://www.miningweekly.com/article/marikana-report-to-zuma-by-tuesday-2015-03-30,https://www.engineeringnews.co.za/article/marikana-report-to-zuma-by-tuesday-2015-03-30,miningweekly.com,engineeringnews.co.za,true,true,511cce9d227f9aec592d7e8ffaeff62b2b93ec0a53e32fe63e6608f63cfed199,90402ca2158e96a0f563f2277732c99ccb4fd7c83897720a006d20de437a923f,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates_batch1__EXP-MEDIA-030,DISC-MEDIA-0373,"AMCU to serve strike notice on Lonmin, Implats",Amcu To Serve Strike Notice On Lonmin Implats,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/amcu-to-serve-strike-notice-on-lonmin-implats-2014-01-17,https://www.engineeringnews.co.za/article/amcu-to-serve-strike-notice-on-lonmin-implats-2014-01-17,miningweekly.com,engineeringnews.co.za,true,true,23d15f99a1759973e003e10e03d154b7d91bb5679526fac3511970f798f7eda0,7fab7385435a0c56a76e860aba6cc0d4e50e1b849df7fd7daaa262667a095d9b,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
expanded_media_candidates_batch1__EXP-MEDIA-033,DISC-MEDIA-0418,Lonmin aims for May 14 restart in challenge to platinum strike,Lonmin Aims For May 14 Restart In Challenge To Platinum Strike,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-aims-for-may-14-restart-in-challenge-to-platinum-strike-2014-05-09,https://www.engineeringnews.co.za/article/lonmin-aims-for-may-14-restart-in-challenge-to-platinum-strike-2014-05-09,miningweekly.com,engineeringnews.co.za,true,true,2265effd1f8b2000b74785a86b89dded7b686f9810b1368f132e0eecde0d1462,021d81f4b5a6ae8e5f26d4a078d9849d64a23f55ca5eefaa7e089ebda5e9592b,false,true,1.000000,1.000000,1.000000,false,true,exact_normalised_title,same_year,pending_targeted_near_duplicate_review
