candidate_id,title,year,publication_date_from_url,publisher,url,prescreen_bucket,targeted_fetch_status,retrieved_text_words,retrieved_text_sha256,case_terms,case_mentions_total,event_terms,event_distinct_terms,social_terms,social_distinct_terms,corporate_terms,corporate_distinct_terms,title_has_case_process_signal,title_has_routine_corporate_signal,evidence_class,evidence_note,review_decision,review_reason_code,review_note
DISC-MEDIA-0445,Lonmin Cuts Workforce Shrinks Capex Lowers Unit Costs,2015,2015-11-13,Engineering News,https://www.engineeringnews.co.za/article/lonmin-cuts-workforce-shrinks-capex-lowers-unit-costs-2015-11-13,lonmin_only_title_review,retrieved_extracted,866,73a291d895a1f1e5bdbb7a3ce83dca82f13cc996a82ff039755d4be66de41609,marikana,1,strike;worker_miner,2,,0,share_price;earnings_results;production_output;exploration_project,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0452,Lonmin Employee Cut Half Done Capex Shrunk Unit Costs Lower,2015,2015-11-02,Engineering News,https://www.engineeringnews.co.za/article/lonmin-employee-cut-half-done-capex-shrunk-unit-costs-lower-2015-11-02,lonmin_only_title_review,retrieved_extracted,867,4225332473f547a71fc47a6eb4a1751f0e4a2aa5f7d7c14c018360784d4133fc,marikana,1,strike;worker_miner,2,,0,share_price;earnings_results;production_output;exploration_project,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0517,Lonmin To Maintain Fy Sales Guidance Cut Capex While Job Cuts Loom,2015,2015-05-11,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-maintain-fy-sales-guidance-cut-capex-while-job-cuts-loom-2015-05-11,lonmin_only_title_review,retrieved_extracted,1020,b1491953d8da3e64239921bc10bafc8d72e0caa2628466d6fbb7f0350d929a37,marikana,1,worker_miner;union,2,,0,earnings_results;production_output;funding_debt;exploration_project,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0545,Low Platinum Price Places 50 Of All Platinum Producers In The Red Lonmin,2015,2015-11-27,Engineering News,https://www.engineeringnews.co.za/article/low-platinum-price-places-50-of-all-platinum-producers-in-the-red-lonmin-2015-11-27,lonmin_only_title_review,retrieved_extracted,804,386d7efd31b2026d64da9d50cef07b0398377572ef2824750964d06a1ef24192,marikana,2,worker_miner;union,2,,0,earnings_results;production_output;exploration_project;commodity_market,4,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0621,Road Deaths In Sa Equivalent To One Marikana Tragedy A Day Analyst,2015,2015-07-10,Engineering News,https://www.engineeringnews.co.za/article/road-deaths-in-sa-equivalent-to-one-marikana-tragedy-a-day-analyst-2015-07-10,explicit_case_title_review,retrieved_extracted,625,a2557fe4858eed491e22de83f222bd59931429462dbc8420aca248fdb9de7f54,marikana,3,strike;worker_miner;shooting_death,3,,0,earnings_results;commodity_market,2,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0629,Sandvik Contractor Dies At Lonmins Marikana Mine,2015,2015-07-23,Engineering News,https://www.engineeringnews.co.za/article/sandvik-contractor-dies-at-lonmins-marikana-mine-2015-07-23,explicit_case_title_review,retrieved_extracted,444,2937f2aacda9e590ab3f391d06011c00a12fad12528be6273b125f8dfa8be4ec,marikana,2,worker_miner;union,2,,0,share_price;earnings_results;exploration_project,3,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0219,Review Noma The Bleak Journey To The Other Marikana,2016,2016-06-17,Daily Maverick,https://www.dailymaverick.co.za/article/2016-06-17-review-noma-the-bleak-journey-to-the-other-marikana/,explicit_case_title_review,retrieved_extracted,1139,617ee0bcfd2160735640150fc3596739be805385b1ebd6be05500500f2326d75,marikana,6,shooting_death;protest_unrest,2,housing,1,share_price;earnings_results;transaction,3,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0228,Groundup Landmark Marikana Settlement Case Begins 60000 Peoples Homes At Stake,2017,2017-02-08,Daily Maverick,https://www.dailymaverick.co.za/article/2017-02-08-groundup-landmark-marikana-settlement-case-begins-60000-peoples-homes-at-stake/,explicit_case_title_review,retrieved_extracted,737,060beb6841e3b1a9d075127992a828e3a34e6555c5dbd9af311e6e34588f0a7c,marikana,6,wage;protest_unrest,2,justice_accountability,1,funding_debt;transaction,2,false,true,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0229,Groundup Marikana Case Homeowner In Informal Settlement Asks City To Buy Her Property,2017,2017-02-10,Daily Maverick,https://www.dailymaverick.co.za/article/2017-02-10-groundup-marikana-case-homeowner-in-informal-settlement-asks-city-to-buy-her-property/,explicit_case_title_review,retrieved_extracted,692,364a4b2838f5b5f20ecc665fedf72d3ec63269201da041b95be309081c3fcffb,marikana,4,police,1,housing,1,transaction,1,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
DISC-MEDIA-0233,Ww We Reject Ramaphosas Marikana Apology Azapo,2017,2017-05-08,Daily Maverick,https://www.dailymaverick.co.za/article/2017-05-08-ww-we-reject-ramaphosas-marikana-apology-azapo/,explicit_case_title_review,retrieved_extracted,336,656f40fc449f1cb8d3c5173ba7d96d1e9e82d2e93c043c00af6650ddab29ac02,marikana,3,strike;worker_miner;shooting_death,3,,0,production_output,1,false,false,strong_case_context_supported,"Case/place term is supported by event, labour, justice, community/governance context or a clearly case-process title.",,,
