candidate_id,publisher,url,canonical_url,year,title,prescreen_bucket,final_url,targeted_fetch_status,targeted_fetch_error,publication_date_from_url,retrieved_text_words,retrieved_text_sha256,retrieved_lonmin_mentions,retrieved_sibanye_mentions,case_terms,case_mentions_total,event_terms,event_mentions_total,event_distinct_terms,social_terms,social_mentions_total,social_distinct_terms,corporate_terms,corporate_mentions_total,corporate_distinct_terms,early_aug_oct_2012_window,title_has_routine_corporate_signal,title_has_case_process_signal,evidence_class,evidence_note,final_decision,final_reason_code,final_evidence_note
SEC-MEDIA-0932,Engineering News,https://www.engineeringnews.co.za/article/sibanye-tables-conditional-settlement-offer-for-south-african-gold-operations-employees-2021-11-18,https://engineeringnews.co.za/article/sibanye-tables-conditional-settlement-offer-for-south-african-gold-operations-employees-2021-11-18,2021,Sibanye Tables Conditional Settlement Offer For South African Gold Operations Employees,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-tables-conditional-settlement-offer-for-south-african-gold-operations-employees-2021-11-18,retrieved_extracted,,2021-11-18,761,d33f6cd8e049f8cc8fa526bb65a5cfd8f50c72b5e23d07f8259439b3a4cde2b4,0,4,,0,strike;worker_miner;wage;union,10,4,commission_inquiry,1,1,earnings_results;production_output;transaction,5,3,false,false,false,sibanye_context_without_case_anchor_review,Sibanye appears with labour/social context but no Marikana/Lonmin anchor; review before exclusion.,,,
SEC-MEDIA-0933,Engineering News,https://www.engineeringnews.co.za/article/sibanye-takes-control-of-rustenburg-platinum-mines-nel-steps-down-as-platinum-division-ceo-2016-11-01,https://engineeringnews.co.za/article/sibanye-takes-control-of-rustenburg-platinum-mines-nel-steps-down-as-platinum-division-ceo-2016-11-01,2016,Sibanye Takes Control Of Rustenburg Platinum Mines Nel Steps Down As Platinum Division Ceo,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-takes-control-of-rustenburg-platinum-mines-nel-steps-down-as-platinum-division-ceo-2016-11-01,retrieved_extracted,,2016-11-01,800,ffd390d97fad49107d6e3d4247157239022cf878d41610238e97c7aacf4e6fb0,0,10,,0,,0,0,community,1,1,earnings_results;production_output;funding_debt;transaction;exploration_project,7,5,false,false,false,sibanye_context_without_case_anchor_review,Sibanye appears with labour/social context but no Marikana/Lonmin anchor; review before exclusion.,,,
SEC-MEDIA-0934,Engineering News,https://www.engineeringnews.co.za/article/sibanye-takes-control-of-rustenburg-platinum-mines-nel-steps-down-as-platinum-division-ceo-2016-11-11,https://engineeringnews.co.za/article/sibanye-takes-control-of-rustenburg-platinum-mines-nel-steps-down-as-platinum-division-ceo-2016-11-11,2016,Sibanye Takes Control Of Rustenburg Platinum Mines Nel Steps Down As Platinum Division Ceo,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-takes-control-of-rustenburg-platinum-mines-nel-steps-down-as-platinum-division-ceo-2016-11-11,retrieved_extracted,,2016-11-11,799,f51701188dee22332045bbc2a66c4fbfe99c6a09a8381ab7fcb02739f1d3bd5f,0,10,,0,,0,0,community,1,1,earnings_results;production_output;funding_debt;transaction;exploration_project,7,5,false,false,false,sibanye_context_without_case_anchor_review,Sibanye appears with labour/social context but no Marikana/Lonmin anchor; review before exclusion.,,,
SEC-MEDIA-0935,Engineering News,https://www.engineeringnews.co.za/article/sibanye-takes-full-control-of-kroondal-for-r1-plus-mine-closure-rehab-costs-2022-01-31,https://engineeringnews.co.za/article/sibanye-takes-full-control-of-kroondal-for-r1-plus-mine-closure-rehab-costs-2022-01-31,2022,Sibanye Takes Full Control Of Kroondal For R1 Plus Mine Closure Rehab Costs,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-takes-full-control-of-kroondal-for-r1-plus-mine-closure-rehab-costs-2022-01-31,retrieved_extracted,,2022-01-31,1022,e858d9d0417276bf5cdfc1744db248c3e206c182b6704afc9dec99468850c2e5,0,12,marikana,1,,0,0,commission_inquiry,1,1,share_price;earnings_results;production_output;transaction;exploration_project,11,5,false,false,false,strong_case_context_supported,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0936,Engineering News,https://www.engineeringnews.co.za/article/sibanye-terminates-discussions-with-wcc-2016-02-26,https://engineeringnews.co.za/article/sibanye-terminates-discussions-with-wcc-2016-02-26,2016,Sibanye Terminates Discussions With Wcc,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-terminates-discussions-with-wcc-2016-02-26,retrieved_extracted,,2016-02-26,570,449423d2605a27758c7e6596943d23aaea87f7cef7fdc6f15d55fc5cce1da28f,0,7,,0,worker_miner,1,1,,0,0,earnings_results;funding_debt;transaction;exploration_project,9,4,false,false,false,ambiguous_secondary_review,Signals are insufficient for a defensible secondary-queue decision.,,,
SEC-MEDIA-0937,Engineering News,https://www.engineeringnews.co.za/article/sibanye-tests-viability-of-underground-hydroelectric-storage-2021-10-13,https://engineeringnews.co.za/article/sibanye-tests-viability-of-underground-hydroelectric-storage-2021-10-13,2021,Sibanye Tests Viability Of Underground Hydroelectric Storage,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-tests-viability-of-underground-hydroelectric-storage-2021-10-13,retrieved_extracted,,2021-10-13,610,b35b16b35daa9f3479162474279083e7256d641c729fd7c82c19fe302b496711,0,4,,0,worker_miner,1,1,community,1,1,earnings_results;exploration_project,6,2,false,false,false,sibanye_context_without_case_anchor_review,Sibanye appears with labour/social context but no Marikana/Lonmin anchor; review before exclusion.,,,
SEC-MEDIA-0938,Engineering News,https://www.engineeringnews.co.za/article/sibanye-to-acquire-us-platinum-miner-for-r30bn-2016-12-09,https://engineeringnews.co.za/article/sibanye-to-acquire-us-platinum-miner-for-r30bn-2016-12-09,2016,Sibanye To Acquire Us Platinum Miner For R30Bn,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-to-acquire-us-platinum-miner-for-r30bn-2016-12-09,retrieved_extracted,,2016-12-09,1367,8b9aaa5b7c205712fc5ee9b5bb89f10fc3d35b6f14a9257cd7bc12437b2900b6,0,23,,0,worker_miner,2,1,community,3,1,share_price;earnings_results;production_output;funding_debt;transaction;dividend_rights;exploration_project;commodity_market,30,8,false,true,true,sibanye_context_without_case_anchor_review,Sibanye appears with labour/social context but no Marikana/Lonmin anchor; review before exclusion.,,,
SEC-MEDIA-0939,Engineering News,https://www.engineeringnews.co.za/article/sibanye-to-be-included-in-ftsejse-top-40-index-2016-09-07,https://engineeringnews.co.za/article/sibanye-to-be-included-in-ftsejse-top-40-index-2016-09-07,2016,Sibanye To Be Included In Ftsejse Top 40 Index,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-to-be-included-in-ftsejse-top-40-index-2016-09-07,retrieved_extracted,,2016-09-07,466,a5710363bb8d79da87c390772062d405db87550201d34ed3c33e6297d99f5878,0,6,,0,,0,0,,0,0,share_price;earnings_results;commodity_market,6,3,false,false,false,ambiguous_secondary_review,Signals are insufficient for a defensible secondary-queue decision.,,,
SEC-MEDIA-0940,Engineering News,https://www.engineeringnews.co.za/article/sibanye-to-buy-back-up-to-5-of-its-shares-2021-06-01,https://engineeringnews.co.za/article/sibanye-to-buy-back-up-to-5-of-its-shares-2021-06-01,2021,Sibanye To Buy Back Up To 5 Of Its Shares,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-to-buy-back-up-to-5-of-its-shares-2021-06-01,retrieved_extracted,,2021-06-01,497,0b8871bd7c463e7a37bf24a1bf177dfedfb348be2abab6f6fa5a1aed17e3f3ad,0,4,,0,worker_miner,1,1,,0,0,share_price;earnings_results;funding_debt;transaction;dividend_rights;commodity_market,11,6,false,false,false,ambiguous_secondary_review,Signals are insufficient for a defensible secondary-queue decision.,,,
SEC-MEDIA-0941,Engineering News,https://www.engineeringnews.co.za/article/sibanye-to-complete-compulsory-acquisition-of-new-century-shares-2023-05-02,https://engineeringnews.co.za/article/sibanye-to-complete-compulsory-acquisition-of-new-century-shares-2023-05-02,2023,Sibanye To Complete Compulsory Acquisition Of New Century Shares,secondary_keyword_only_review,https://www.engineeringnews.co.za/article/sibanye-to-complete-compulsory-acquisition-of-new-century-shares-2023-05-02,retrieved_extracted,,2023-05-02,463,12ce30df28c39d3e0d78799f54a3e5c100a2b0a891b9e1a6c79bb4f7aa51e068,0,4,,0,worker_miner,1,1,,0,0,share_price;earnings_results;production_output;transaction;exploration_project,15,5,false,true,false,strong_routine_no_case_anchor,Routine corporate/financial/production article with no Marikana/Lonmin case anchor.,,,
