record_id,title,year,publisher,url,stakeholder_group_proxy,stakeholder_confidence,stakeholder_method,stakeholder_score_government,stakeholder_score_investor,stakeholder_score_community,stakeholder_score_labour,stakeholder_score_NGO,stance_a_label,stance_a_score,stance_a_positive_sentences,stance_a_negative_sentences,stance_b_label,stance_b_score,stance_b_positive_sentences,stance_b_negative_sentences,draft_reconstructed_label,annotation_confidence,needs_review,review_reason,positive_cue_families,negative_cue_families
MEDIA-042,Nothing off table as Lonmin pursues value in low platinum price environment,2017,Mining Weekly,https://www.miningweekly.com/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,investor,0.7407,dominant_voice_proxy,2.800,27.000,0.000,7.000,0.000,1,0.51083,4,2,0,-1.00000,0,1,,0.3022,true,stance_readings_disagree_or_low_margin,,
MEDIA-043,"Sibanye-Stillwater to acquire embattled Lonmin, completes PGMs strategy",2017,Mining Weekly,https://www.miningweekly.com/article/sibanye-stillwater-to-acquire-embattled-lonmin-in-all-share-offer-2017-12-14,investor,0.9879,dominant_voice_proxy,0.700,57.850,0.000,0.350,0.000,1,0.00000,2,2,0,-0.41421,1,2,,0.0828,true,stance_readings_disagree_or_low_margin,,
MEDIA-044,Lonmin transaction filed with South Africa's competition authority,2018,Mining Weekly,https://www.miningweekly.com/article/lonmin-transaction-filed-with-south-africas-competition-body-2018-03-30,investor,0.1172,dominant_voice_proxy,0.350,7.250,0.350,6.400,0.000,0,-0.69315,0,1,0,-1.00000,0,1,0,0.3386,true,stakeholder_voice_low_confidence,,
MEDIA-046,UK regulatory body approves Sibanye's acquisition of Lonmin,2018,Mining Weekly,https://www.miningweekly.com/article/uk-regulatory-body-approves-sibanyes-acquisition-of-lonmin-2018-06-28,investor,0.8501,dominant_voice_proxy,3.350,22.350,0.000,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,
MEDIA-048,"Lonmin undertakes refinancing, delivers on results promise",2018,Mining Weekly,https://www.miningweekly.com/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,investor,0.7580,dominant_voice_proxy,6.050,25.000,0.000,0.350,0.000,1,0.00000,1,1,0,-1.00000,0,1,,0.2000,true,stance_readings_disagree_or_low_margin,,
MEDIA-050,Rustenburg communities want ConCourt to set aside Sibanye's Lonmin takeover,2019,Mining Weekly,https://www.miningweekly.com/article/rustenburg-communities-want-concourt-to-set-aside-sibanyes-lonmin-takeover-2019-07-19,investor,0.4937,dominant_voice_proxy,6.050,11.950,1.750,1.050,0.000,1,0.00000,1,1,1,0.00000,1,1,,0.0000,true,stance_readings_disagree_or_low_margin,,
MEDIA-052,Sibanye-Stillwater intensifies PGMs presence,2019,Mining Weekly,https://www.miningweekly.com/article/sibanye-stillwater-intensifies-pgms-presence-2019-08-23,investor,1.0000,dominant_voice_proxy,0.000,23.550,0.000,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,
CORP-002,Lonmin Plc Annual Report and Accounts 2013,2013,Lonmin Plc,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2013.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.15415,97,83,0,-1.52277,30,49,,0.3354,true,stance_readings_disagree_or_low_margin,,
CORP-006,Lonmin Plc Annual Report and Accounts 2017,2017,Lonmin Plc,https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/final-offer/lonmin-year-end-30september2017.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,0,-0.22314,3,4,0,-0.58579,2,4,,0.1618,true,stance_readings_disagree_or_low_margin,,
CORP-007,Lonmin Plc Annual Report and Accounts 2018,2018,Lonmin Plc,https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/lonmin-annual-report-2018.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.02871,105,102,0,-0.42877,46,52,,0.0915,true,stance_readings_disagree_or_low_margin,,
CORP-010,Sibanye-Stillwater Integrated Report 2021,2021,Sibanye-Stillwater,https://reports.sibanyestillwater.com/2021/,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,0,-0.28768,5,7,0,-0.31784,2,3,,0.1211,true,stance_readings_disagree_or_low_margin,,
CORP-011,Sibanye-Stillwater Integrated Report 2022,2022,Sibanye-Stillwater,https://reports.sibanyestillwater.com/2022/,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,
CORP-012,Sibanye-Stillwater Integrated Report 2023,2023,Sibanye-Stillwater,https://reports.sibanyestillwater.com/2023/,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.40547,2,1,0,-1.00000,0,1,,0.2811,true,stance_readings_disagree_or_low_margin,,
expanded_corporate_candidates__EXP-CORP-001,Lonmin Plc Annual Report and Accounts 2010,2010,Lonmin Plc,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2010.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.11778,71,63,1,0.20004,26,24,,0.0636,true,stance_readings_disagree_or_low_margin,,
EXP-CORP-005,Lonmin Plc Sustainable Development Report 2018,2018,Lonmin Plc,https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/1548855505-lonmin-sdr-2018.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,0,-0.34740,64,91,1,0.70820,45,36,,0.2111,true,stance_readings_disagree_or_low_margin,,
CORP-NEWS-002,Constitutional Court of South Africa dismisses applications brought by Greater Lonmin Community,2019,Sibanye-Stillwater,https://thevault.exchange/?get_group_doc=245%2F1567694971-WithLogoConstitutionalCourtofSouthAfricadismissesapplicationsbroughtbyGreaterLonminCommunity5Sep2019.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.69315,3,1,0,-1.00000,0,1,,0.3386,true,stance_readings_disagree_or_low_margin,,
CORP-NEWS-005,Referral of the Platinum wage negotiations dispute to the CCMA for Sibanye-Stillwater’s Rustenburg and Marikana operations,2019,Sibanye-Stillwater,https://thevault.exchange/?get_group_doc=245%2F1569859850-MediareleaseReferralofthePlatinumwagenegotiationsdisputetotheCCMAforSibanye-StillwatersRustenburgandMarikanaoperations30Sep2019.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,1.09861,2,0,0,-2.50000,0,1,,0.7197,true,stance_readings_disagree_or_low_margin,,"(?:wage|pay).{0,30}(?:dispute|demand|strike)"
CORP-NEWS-006,Marikana Commemoration speakers call for positive change in South Africa,2023,Sibanye-Stillwater,https://thevault.exchange/?get_group_doc=245%2F1692017960-MediareleaseMarikanacommemorationcallforpositivechangeinSA14August2023.pdf,investor,1.0000,document_author_group,0.000,10.000,0.000,0.000,0.000,1,0.40547,5,3,1,0.00000,3,3,,0.0811,true,stance_readings_disagree_or_low_margin,,
EXP-GOV-003,North West Human Settlements on illegal occupants of Marikana houses,2016,North West Human Settlements / South African Government,https://www.gov.za/speeches/illegal-occupants-houses-marikana-stand-be-evicted-19-apr-2016-0000,government,1.0000,document_author_group,10.000,0.000,0.000,0.000,0.000,1,0.45685,1,3,0,-1.00000,0,1,,0.2914,true,stance_readings_disagree_or_low_margin,settlement,
EXP-GOV-011,Parliament requests update from SAPS on implementation of recommendations in Panel of Experts Report,2021,Parliament of South Africa,https://www.gov.za/news/media-statements/parliament-requests-update-saps-implementation-recommendations-panel-experts,government,,text_unavailable,,,,,,,,,,,,,,,,true,text_unavailable_at_execution,,
WEB-GOV-003,Government remembers Marikana tragedy,2020,Government Communication and Information System,https://www.gcis.gov.za/newsroom/media-releases/government-remembers-marikana-tragedy,government,1.0000,document_author_group,10.000,0.000,0.000,0.000,0.000,0,-0.69315,0,1,1,0.00000,0,0,,0.1386,true,stance_readings_disagree_or_low_margin,,
WEB-GOV-004,Government commemorates the Marikana tragedy,2022,South African Government,https://www.gov.za/news/media-statements/government-commemorates-marikana-tragedy-16-aug-2022,government,,text_unavailable,,,,,,,,,,,,,,,,true,text_unavailable_at_execution,,
expanded_media_candidates__EXP-MEDIA-001,It's business unusual at 'improving' Lonmin – Munroe,2013,Mining Weekly,https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,investor,0.5064,dominant_voice_proxy,2.500,15.700,2.100,7.750,0.000,1,0.33647,6,4,1,0.00000,3,3,,0.0673,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates__EXP-MEDIA-002,Lonmin accelerates union recognition process to ease Marikana tensions,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-accelerates-union-recognition-process-to-ease-marikana-tensions-2013-05-17,labour,0.1625,dominant_voice_proxy,2.500,20.100,0.000,24.000,0.000,1,0.51083,4,2,0,-1.41421,0,2,,0.3850,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates__EXP-MEDIA-003,Lonmin to derecognise smaller unions in favour of AMCU,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-23,labour,0.1197,dominant_voice_proxy,0.350,15.450,0.000,17.550,0.000,1,0.69315,5,2,0,-1.41421,0,2,,0.4215,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates__EXP-MEDIA-009,An end to platinum miner's single-sex hostels beckons,2014,Mining Weekly,https://www.miningweekly.com/article/an-end-to-platinum-miners-single-sex-hostels-beckons-2014-03-28,labour,0.1957,dominant_voice_proxy,0.700,26.300,7.100,32.700,0.000,1,1.79176,11,1,0,-1.00000,0,1,,0.5584,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates__EXP-MEDIA-023,Marikana massacre: The first of Lonmin's voices are heard,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-06-09-marikana-massacre-the-first-of-lonmins-voices-are-heard/,investor,0.0585,dominant_voice_proxy,2.800,27.350,0.000,25.750,0.000,0,-3.67573,1,24,0,-6.08258,0,21,0,1.0000,true,stakeholder_voice_low_confidence,,(?:massacre|killings?|shootings?|deaths?|torture) | massacre
expanded_media_candidates__EXP-MEDIA-033,Community wants ConCourt to declare R5bn Lonmin deal illegal,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-07-21-community-wants-concourt-to-declare-r5bn-lonmin-deal-illegal/,investor,0.3630,dominant_voice_proxy,6.050,33.200,21.150,10.700,0.000,1,0.28768,7,5,0,-1.23607,1,5,,0.3048,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates_02__EXP-MEDIA-037,Lonmin workers embark on illegal work stoppage,2013,Mining Weekly,https://www.miningweekly.com/article/illegal-strike-erupts-at-lonmin-2013-03-05,investor,0.0843,dominant_voice_proxy,0.000,17.200,0.000,15.750,0.000,1,0.40547,2,1,0,-1.00000,0,1,,0.2811,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates_02__EXP-MEDIA-039,Lonmin confirms work stoppage across shafts,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-confirms-work-stoppage-across-shafts-2013-05-14,labour,0.6705,dominant_voice_proxy,0.000,10.100,0.000,30.650,0.000,0,-0.40547,1,2,0,-0.41421,1,2,,0.1639,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates_02__EXP-MEDIA-040,"AMCU, Lonmin talks reach deadlock, formal arbitration to start",2013,Mining Weekly,https://www.miningweekly.com/article/amcu-lonmin-talks-reach-deadlock-formal-arbitration-to-start-2013-05-23,labour,0.2262,dominant_voice_proxy,0.350,9.750,0.000,12.600,0.000,1,0.69315,3,1,0,-1.00000,0,1,,0.3386,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates_02__EXP-MEDIA-043,AMCU sidelined as platinum producers take offer directly to employees,2014,Mining Weekly,https://www.miningweekly.com/article/amcu-sidelined-as-platinum-producers-take-offer-directly-to-employees-2014-04-25,labour,0.6965,dominant_voice_proxy,0.000,8.300,0.000,27.350,0.000,1,0.40547,2,1,0,-1.00000,0,1,,0.2811,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates_02__EXP-MEDIA-045,"AMCU rejects platinum offer, sticking to R12 500 demand",2014,Mining Weekly,https://www.miningweekly.com/article/amcu-rejects-platinum-offer-sticking-to-r12-500-demand-2014-01-31,labour,0.5773,dominant_voice_proxy,0.000,8.200,0.000,19.400,0.000,1,0.51083,4,2,0,-1.73205,0,3,,0.4486,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates_batch1__EXP-MEDIA-012,Daily Maverick's SA Persons of the Year: The victims of Marikana,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-12-31-daily-mavericks-sa-persons-of-the-year-the-victims-of-marikana/,labour,0.1111,dominant_voice_proxy,2.800,1.750,0.700,3.150,0.350,0,-2.48491,0,11,0,-3.16228,0,10,0,1.0000,true,stakeholder_voice_low_confidence,,
expanded_media_candidates_batch1__EXP-MEDIA-024,REPUTATION WRECKING BALL,2012,Mining Weekly,https://www.miningweekly.com/article/reputation-wrecking-ball-2012-09-07,investor,0.7000,dominant_voice_proxy,0.000,0.700,0.000,0.000,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates_batch1__EXP-MEDIA-026,Lonmin says significant safety records achieved at Marikana,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-says-significant-safety-records-achieved-at-marikana-2013-01-24,investor,0.9598,dominant_voice_proxy,0.000,8.700,0.000,0.350,0.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates_batch1__EXP-MEDIA-030,"AMCU to serve strike notice on Lonmin, Implats",2014,Mining Weekly,https://www.miningweekly.com/article/amcu-to-serve-strike-notice-on-lonmin-implats-2014-01-17,labour,0.0278,dominant_voice_proxy,0.350,12.250,0.000,12.600,0.000,0,-2.75944,0,4,0,-3.50000,0,4,0,1.0000,true,stakeholder_voice_low_confidence,,(?:strike|protest|unrest|industrial action) | strike
expanded_media_candidates_batch1__EXP-MEDIA-034,"Uphold overwhelming wish of workers to return, pleads Lonmin",2014,Mining Weekly,https://www.miningweekly.com/article/uphold-overwhelming-wish-of-workers-to-return-pleads-lonmin-2014-05-12,labour,0.0112,dominant_voice_proxy,3.550,35.350,0.350,35.750,0.000,0,-3.09104,0,21,0,-3.35890,1,19,0,1.0000,true,stakeholder_voice_low_confidence,,
expanded_media_candidates_batch1__EXP-MEDIA-040,Recovering platinum miner forging ahead,2013,Engineering News,https://www.engineeringnews.co.za/article/recovering-platinum-miner-forging-ahead-2013-03-15,investor,0.4125,dominant_voice_proxy,1.400,33.700,4.600,19.800,0.000,1,0.35667,9,6,0,-0.71744,3,6,,0.2148,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates_batch1__EXP-MEDIA-043,Profit shifting report false – Lonmin,2014,Engineering News,https://www.engineeringnews.co.za/article/profit-shifting-report-false-lonmin-2014-10-16,investor,0.7570,dominant_voice_proxy,10.350,42.600,0.000,0.000,0.000,1,0.00000,1,1,0,-0.41421,1,2,,0.0828,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates_batch2__EXP-MEDIA-045,Volatility now plagues platinum miner's housing allocation,2016,Mining Weekly,https://www.miningweekly.com/article/volatility-now-plagues-platinum-miners-housing-allocation-2016-02-05,community,0.3333,dominant_voice_proxy,3.550,0.700,8.550,5.700,0.000,1,0.18232,5,4,0,-1.73205,0,3,,0.3829,true,stance_readings_disagree_or_low_margin,,
expanded_media_candidates_batch2__EXP-MEDIA-050,Lonmin community wants operations suspended on social failings,2017,Mining Weekly,https://www.miningweekly.com/article/lonmin-community-wants-operations-suspended-on-social-failings-2017-10-25,investor,0.1736,dominant_voice_proxy,5.350,14.400,11.900,0.000,2.500,1,0.00000,2,2,0,-0.41421,1,2,,0.0828,true,stance_readings_disagree_or_low_margin,,
EXP-MEDIA-053,What's mine is mine: How the Bapo Ba Mogale got robbed of R800 million,2016,Daily Maverick,https://www.dailymaverick.co.za/article/2016-10-26-whats-mine-is-mine-how-the-bapo-ba-mogale-got-robbed-of-r800-million/,community,0.4922,dominant_voice_proxy,19.500,10.950,38.400,0.000,0.000,0,-0.84730,2,6,1,0.00000,2,2,,0.1695,true,stance_readings_disagree_or_low_margin,,
EXP-MEDIA-064,Sibanye-Stillwater hoists first tons from R4bn 4 000-job K4 platinum project,2022,Engineering News,https://www.engineeringnews.co.za/article/first-tons-hoisted-at-marikanas-top-tier-4-000-job-k4-platinum-project-2022-05-16,investor,0.9653,dominant_voice_proxy,0.350,10.100,0.000,0.000,0.000,0,-0.69315,0,1,1,0.00000,0,0,,0.1386,true,stance_readings_disagree_or_low_margin,,
SAT-EARLY-MEDIA-002,Missing millions from Lonmin fund prompts community pay reform,2016,Mining Weekly / Bloomberg,https://www.miningweekly.com/article/missing-millions-from-lonmin-fund-prompts-community-pay-reform-2016-08-04,community,0.1980,dominant_voice_proxy,5.350,15.800,19.700,0.000,0.000,1,2.06629,4,1,0,-1.00000,0,1,,0.6133,true,stance_readings_disagree_or_low_margin,reform,
SAT-EARLY-MEDIA-005,Bapo cancel protest march against Lonmin after reaching new employment deal,2015,Mining Weekly / African News Agency,https://www.miningweekly.com/article/bapo-cancel-protest-march-against-lonmin-after-reaching-new-employment-deal-2015-06-17,community,0.0695,dominant_voice_proxy,2.500,19.400,20.850,0.000,0.000,0,-1.37314,3,4,0,-2.23205,1,3,0,0.7210,true,stakeholder_voice_low_confidence,,(?:strike|protest|unrest|industrial action) | protest
SAT-EARLY-MEDIA-008,HONOURING AGREEMENTS,2013,Mining Weekly,https://www.miningweekly.com/article/honouring-agreements-2013-03-15,labour,0.4673,dominant_voice_proxy,0.000,2.850,0.000,5.350,0.000,1,1.55547,2,1,0,-1.00000,0,1,,0.5111,true,stance_readings_disagree_or_low_margin,agreement,
SAT-EARLY-MEDIA-012,A tale of two worlds - Sun City and Marikana,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-03-a-tale-of-two-worlds-sun-city-and-marikana/,government,0.0000,dominant_voice_proxy,1.400,1.400,0.000,1.400,0.000,0,-1.09861,1,5,0,-2.23607,0,5,0,0.6669,true,stakeholder_voice_low_confidence,,
SAT-MEDIA-002,Sibanye-Stillwater defeats mining communities challenging R5.4bn Lonmin merger,2019,Daily Maverick,https://www.dailymaverick.co.za/article/2019-09-09-sibanye-stillwater-defeats-mining-communities-challenging-r5-4bn-lonmin-merger/,investor,0.6518,dominant_voice_proxy,1.050,32.600,11.350,3.200,0.000,1,0.22314,4,3,0,-1.41421,0,2,,0.3275,true,stance_readings_disagree_or_low_margin,,
SAT-MEDIA-013,Sibanye files court papers to oppose application to halt R5.2bn Lonmin merger,2019,Mining Weekly,https://www.miningweekly.com/article/sibanye-files-court-papers-to-oppose-application-to-halt-r52bn-lonmin-merger-2019-08-02,investor,0.4277,dominant_voice_proxy,8.900,15.550,1.400,1.050,0.000,1,0.00000,2,2,0,-0.41421,1,2,,0.0828,true,stance_readings_disagree_or_low_margin,,
SAT-MEDIA-015,Sibanye-Stillwater restructures historical Lonmin BEE structure,2021,Mining Weekly,https://www.miningweekly.com/article/sibanye-stillwater-restructures-historical-lonmin-bee-structure-2021-04-14,investor,1.0000,dominant_voice_proxy,0.000,24.500,0.000,0.000,0.000,1,0.69315,1,0,1,0.00000,0,0,,0.1386,true,stance_readings_disagree_or_low_margin,,
SAT4-MEDIA-007,"Marikana massacre: Ten years on, the truth-tellers still carry the weight of what they uncovered",2022,Daily Maverick,https://www.dailymaverick.co.za/article/2022-08-15-ten-years-on-the-marikana-truth-tellers-still-carry-the-weight-of-what-they-uncovered/,government,0.0839,dominant_voice_proxy,7.750,7.100,4.600,4.950,0.000,0,-4.32805,0,23,0,-5.74264,0,18,0,1.0000,true,stakeholder_voice_low_confidence,,(?:massacre|killings?|shootings?|deaths?|torture) | massacre
SAT4-MEDIA-009,"Lonmin working hard to improve living conditions, says CEO Magara",2016,Engineering News,https://www.engineeringnews.co.za/article/lonmin-working-hard-to-improve-living-conditions-says-ceo-magara-2016-08-16,investor,0.5626,dominant_voice_proxy,0.700,22.750,1.750,9.950,0.350,1,0.00000,4,4,0,-1.73205,0,3,,0.3464,true,stance_readings_disagree_or_low_margin,,
SAT4-MEDIA-011,AMCU signs three-year wage deal with Lonmin,2016,Engineering News,https://www.engineeringnews.co.za/article/amcu-signs-three-year-wage-deal-with-lonmin-2016-10-31,labour,0.2570,dominant_voice_proxy,0.000,18.650,0.000,25.100,0.000,1,0.22314,4,3,0,-1.73205,0,3,,0.3910,true,stance_readings_disagree_or_low_margin,,
SAT5-MEDIA-003,Rights organisations are seeking accountability for failed Marikana housing,2022,Engineering News,https://www.engineeringnews.co.za/article/human-rights-orgs-are-seeking-accountability-for-failed-marikana-housing-2022-08-16,government,0.0277,dominant_voice_proxy,27.100,26.350,2.850,9.250,2.500,0,-1.62000,4,7,0,-2.73154,2,7,0,0.8703,true,stakeholder_voice_low_confidence,,(?:failed|failure|non[- ]compliance|breach|neglect|shortcoming) | failed|failure
SAT7-MEDIA-001,Marikana Commission: Ramaphosa walks the line,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-08-13-marikana-commission-ramaphosa-walks-the-line/,government,0.0025,dominant_voice_proxy,20.350,20.300,0.350,19.950,0.000,0,-2.99573,0,19,0,-3.60555,0,13,0,1.0000,true,stakeholder_voice_low_confidence,,
SAT8-MEDIA-006,"Marikana report: Despite the release promise, pressure on Zuma persists",2015,Daily Maverick,https://www.dailymaverick.co.za/article/2015-05-27-marikana-report-despite-the-release-promise-pressure-on-zuma-persists/,labour,0.0757,dominant_voice_proxy,5.650,0.000,3.550,9.250,8.550,0,-2.19722,0,8,0,-2.00000,0,4,0,0.8394,true,stakeholder_voice_low_confidence,,
EXP-NGO-003,Lonmin Social and Labour Plan Analysis: Qualitative and Quantitative Assessment,2014,South African Human Rights Commission / Marikana Commission,https://sahrc.org.za/home/21/files/Lonmin%20Social%20and%20Labour%20Plan%20Analysis%20Qualitative%20and%20Quantitative%20Assessment%20(Final)[1].pdf,government,1.0000,document_author_group,10.000,0.000,0.000,0.000,0.000,1,0.79718,25,36,0,-1.83772,10,25,,0.5270,true,stance_readings_disagree_or_low_margin,social (?:and )?labou?r plan,
EXP-NGO-008,SERI to represent AMCU at the Marikana Commission,2012,Socio-Economic Rights Institute of South Africa,https://www.seri-sa.org/images/stories/seri_mediastatement_amcu_14sep12.pdf,labour,1.0000,document_author_group,0.000,0.000,0.000,10.000,0.000,0,-0.69315,0,1,1,0.00000,0,0,,0.1386,true,stance_readings_disagree_or_low_margin,,
EXP-NGO-010,Police Intimidation of Witnesses at Marikana Commission of Inquiry,2012,Socio-Economic Rights Institute of South Africa,https://abahlali.org/node/9299/,NGO,1.0000,document_author_group,0.000,0.000,0.000,0.000,10.000,1,0.00000,0,0,1,0.00000,0,0,,0.0000,true,stance_readings_disagree_or_low_margin,,
EXP-NGO-024,Families request Marikana Report be released by Friday,2015,SERI / Legal Resources Centre,https://seri-sa.org/images/Marikana_PressStatement_27May15_FINAL.pdf,NGO,1.0000,document_author_group,0.000,0.000,0.000,0.000,10.000,0,-0.69315,0,1,1,0.00000,0,0,,0.1386,true,stance_readings_disagree_or_low_margin,,
SERI-SAT2-001,Department of Justice is Misleading the Public about Marikana Families,2012,Socio-Economic Rights Institute of South Africa,https://www.seri-sa.org/images/stories/press_statement_marikana_28oct12.pdf,NGO,1.0000,document_author_group,0.000,0.000,0.000,0.000,10.000,0,-0.69315,0,1,1,0.00000,0,0,,0.1386,true,stance_readings_disagree_or_low_margin,,
