record_id,title,year,publisher,url,execution_recovery_status,execution_extraction_method,execution_words,execution_text_sha256,final_url,error,frozen_provenance_text_sha256,frozen_provenance_text_words
SEC-MEDIA-0013,Platinum Strike The Negotiation Tables Depressing Emptiness,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-03-06-platinum-strike-the-negotiation-tables-depressing-emptiness/,retrieved_extracted,trafilatura,786,772403d2dc6df01a39fd9f311743e6905b8ee89a64bf7f21f21dd3f0450eaa53,https://www.dailymaverick.co.za/article/2014-03-06-platinum-strike-the-negotiation-tables-depressing-emptiness/,,6413442b9e906351aaf031671410ee85ec44d44dbca04274b911333c143579d4,786
SEC-MEDIA-0014,In Pictures Amcu Takes To The Union Buildings,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-03-07-in-pictures-amcu-takes-to-the-union-buildings/,retrieved_extracted,trafilatura,285,c5884445173a98d1653e1fff3f50f845061dd471576caac845e51d55844c315e,https://www.dailymaverick.co.za/article/2014-03-07-in-pictures-amcu-takes-to-the-union-buildings/,,a324a3704b1d08283ff9c250b2daf2c84f765a024ea0b4c7a61dff0c6e20e5a9,285
SEC-MEDIA-0015,Amcus Mathunjwa Last Six Weeks Of Platinum Strike Was Like A Warm Up,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-03-11-amcus-mathunjwa-last-six-weeks-of-platinum-strike-was-like-a-warm-up/,retrieved_extracted,trafilatura,1539,c92bf18b0a31093aa0894226a9010edc21de1896d323da13d812c7d7fa5e28bb,https://www.dailymaverick.co.za/article/2014-03-11-amcus-mathunjwa-last-six-weeks-of-platinum-strike-was-like-a-warm-up/,,a942119b93d1efc95cee634607f494421a75997cd8e222b1ede2ecd9115afd9a,1539
SEC-MEDIA-0236,Amcu To March To Amplats Offices On Tuesday,2014,Engineering News,https://www.engineeringnews.co.za/article/amcu-to-march-to-amplats-offices-on-tuesday-2014-03-17,retrieved_extracted,trafilatura,629,5634a003c6617618ad8c1caa6ecebeb741b089a1c28b9b05f38dad2f989e1bf4,https://www.engineeringnews.co.za/article/amcu-to-march-to-amplats-offices-on-tuesday-2014-03-17,,8fac5fb06f44e5d48ff169e1f9d4f27ef0743985c223aed4158bad557cc0006f,629
SEC-MEDIA-0385,Labour Court Amcu Gold Strike Return Date Postponed,2014,Engineering News,https://www.engineeringnews.co.za/article/labour-court-amcu-gold-strike-return-date-postponed-2014-03-17,retrieved_extracted,trafilatura,463,c5717f6432be00b773b7153a36c3b168170ab905dd371db91ac3a773991d3c4f,https://www.engineeringnews.co.za/article/labour-court-amcu-gold-strike-return-date-postponed-2014-03-17,,2a4bef696eb68b94d47a954a3f05c68f5ceb8904168f8833c7620d2fb4c5fc14,463
SEC-MEDIA-0016,Amcu Takes Platinum Fight To Heart Of Amplats,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-03-19-amcu-takes-platinum-fight-to-heart-of-amplats/,retrieved_extracted,trafilatura,1545,f38f92c2951fac80f4fb991b79b9e905fb72e95d1762639d6b595f247bc0ff0a,https://www.dailymaverick.co.za/article/2014-03-19-amcu-takes-platinum-fight-to-heart-of-amplats/,,8f292d81c1edb6457bda48af2aed08992bb5a1b76f2769eb7f44f3229f8f2d75,1545
SEC-MEDIA-0519,Safrica Deputy President To Meet Mining Firms Unions As Platinum Strike Drags On,2014,Engineering News,https://www.engineeringnews.co.za/article/safrica-deputy-president-to-meet-mining-firms-unions-as-platinum-strike-drags-on-2014-03-24,retrieved_extracted,trafilatura,681,aeceb8879d4752f8b15454f27c87fca0fb325747ca8a9448fc699b0663e66923,https://www.engineeringnews.co.za/article/safrica-deputy-president-to-meet-mining-firms-unions-as-platinum-strike-drags-on-2014-03-24,,dbd1ab3eddd651059af0afb4352ebcc4416ff6711a554737297a9eef4412c361,681
SEC-MEDIA-0017,Platinum Strikes Two Months Into Starving Negotiations,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-03-26-platinum-strikes-two-months-into-starving-negotiations/,retrieved_extracted,trafilatura,1089,0f6051d993140762773f056ad111dc9a99641fd7686fc8b303c2a92e6de1c50f,https://www.dailymaverick.co.za/article/2014-03-26-platinum-strikes-two-months-into-starving-negotiations/,,00b73222887213b0cf10880039f59792437f0acfa385f51935887e0813d08943,1089
SEC-MEDIA-0322,Eff Supports Amcu Strike,2014,Engineering News,https://www.engineeringnews.co.za/article/eff-supports-amcu-strike-2014-03-26,retrieved_extracted,trafilatura,840,2b71ac83065237866dd26cbdbedfc0c5f12b1f900868f0784b98255d7a1300fc,https://www.engineeringnews.co.za/article/eff-supports-amcu-strike-2014-03-26,,bded7c8ec1f3fac4cd518a77cc67947dccb4b2526a309ff10bced60bc8db0594,840
DISC-MEDIA-0145,Marikana Commission A Cop Who Stands For Truth And Accountability,2014,Daily Maverick,https://www.dailymaverick.co.za/article/2014-03-27-marikana-commission-a-cop-who-stands-for-truth-and-accountability/,retrieved_extracted,trafilatura,1781,fd1bb4606825594ba26531ccb1f1072485c6f5f4cdd5268f46b94ad2f8b6a63d,https://www.dailymaverick.co.za/article/2014-03-27-marikana-commission-a-cop-who-stands-for-truth-and-accountability/,,693dd9bbead752a9bb9a5f06b648c521d45957ebb9ae302499660d3e781bfe3f,1781
