min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
1,1,salience_only,0.5,NPV,0.25,0.06821082355193071,0.2279916878084889,-0.022008312191511087
1,1,salience_only,0.5,IRR,0.2,0.05089367916464534,0.18086616938808162,-0.019133830611918395
1,1,salience_only,0.5,Geological Feasibility,0.15,0.20619668621980333,0.1459216344100479,-0.004078365589952088
1,1,salience_only,0.5,Market Stability,0.15,0.08259519239154305,0.13774641952209196,-0.012253580477908033
1,1,salience_only,0.5,Local Employment,0.15,0.86215974393777,0.18930815660577646,0.03930815660577647
1,1,salience_only,0.5,Community Infrastructure,0.1,0.6798351996490963,0.1181659322655131,0.018165932265513093
1,1,salience_only,0.8,NPV,0.25,0.06821082355193071,0.21711699640064597,-0.03288300359935403
1,1,salience_only,0.8,IRR,0.2,0.05089367916464534,0.17141180952877313,-0.028588190471226876
1,1,salience_only,0.8,Geological Feasibility,0.15,0.20619668621980333,0.1439064427473178,-0.006093557252682208
1,1,salience_only,0.8,Market Stability,0.15,0.08259519239154305,0.1316917114109531,-0.0183082885890469
1,1,salience_only,0.8,Local Employment,0.15,0.86215974393777,0.20873100326386151,0.05873100326386152
1,1,salience_only,0.8,Community Infrastructure,0.1,0.6798351996490963,0.12714203664844853,0.027142036648448525
2,1,salience_times_contention,0.0,NPV,0.25,0.03232236790750248,0.25,0.0
2,1,salience_times_contention,0.0,IRR,0.2,0.015379796634986483,0.2,0.0
2,1,salience_times_contention,0.0,Geological Feasibility,0.15,0.09924549877589926,0.15,0.0
2,1,salience_times_contention,0.0,Market Stability,0.15,0.02005277479516439,0.15,0.0
2,1,salience_times_contention,0.0,Local Employment,0.15,0.7434392735058548,0.15,0.0
2,1,salience_times_contention,0.0,Community Infrastructure,0.1,0.5250912298783984,0.1,0.0
2,1,salience_times_contention,0.1,NPV,0.25,0.03232236790750248,0.24605727619380344,-0.003942723806196563
2,1,salience_times_contention,0.1,IRR,0.2,0.015379796634986483,0.19651338802187704,-0.003486611978122972
2,1,salience_times_contention,0.1,Geological Feasibility,0.15,0.09924549877589926,0.14861919790320513,-0.0013808020967948642
2,1,salience_times_contention,0.1,Market Stability,0.15,0.02005277479516439,0.14745380796202456,-0.002546192037975431
2,1,salience_times_contention,0.1,Local Employment,0.15,0.7434392735058548,0.15809907064282794,0.008099070642827944
2,1,salience_times_contention,0.1,Community Infrastructure,0.1,0.5250912298783984,0.10325725927626193,0.0032572592762619285
2,1,salience_times_contention,0.3,NPV,0.25,0.03232236790750248,0.23860356886529813,-0.011396431134701873
2,1,salience_times_contention,0.3,IRR,0.2,0.015379796634986483,0.18992195871299533,-0.01007804128700468
2,1,salience_times_contention,0.3,Geological Feasibility,0.15,0.09924549877589926,0.14600879575129178,-0.003991204248708219
2,1,salience_times_contention,0.3,Market Stability,0.15,0.02005277479516439,0.14264023968128117,-0.007359760318718822
2,1,salience_times_contention,0.3,Local Employment,0.15,0.7434392735058548,0.17341033898722777,0.023410338987227775
2,1,salience_times_contention,0.3,Community Infrastructure,0.1,0.5250912298783984,0.1094150980019059,0.009415098001905889
2,1,salience_times_contention,0.5,NPV,0.25,0.03232236790750248,0.23167483525538407,-0.01832516474461593
2,1,salience_times_contention,0.5,IRR,0.2,0.015379796634986483,0.18379477182773032,-0.016205228172269687
2,1,salience_times_contention,0.5,Geological Feasibility,0.15,0.09924549877589926,0.14358224741390477,-0.006417752586095227
2,1,salience_times_contention,0.5,Market Stability,0.15,0.02005277479516439,0.13816569689867758,-0.011834303101322413
2,1,salience_times_contention,0.5,Local Employment,0.15,0.7434392735058548,0.18764321598556957,0.03764321598556958
