publisher,url,canonical_url,year,prescreen_status
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-18-marikana-malemas-police-sponsored-exit/,https://dailymaverick.co.za/article/2012-09-18-marikana-malemas-police-sponsored-exit,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-18-marikana-social-scientists-seek-understanding-and-demand-justice/,https://dailymaverick.co.za/article/2012-09-18-marikana-social-scientists-seek-understanding-and-demand-justice,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-19-marikana-the-strike-ends-now-what/,https://dailymaverick.co.za/article/2012-09-19-marikana-the-strike-ends-now-what,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-19-marikana-the-strike-might-be-over-but-the-struggle-continues/,https://dailymaverick.co.za/article/2012-09-19-marikana-the-strike-might-be-over-but-the-struggle-continues,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-20-cosatu-congress-battling-the-rupture-of-mangaung-and-the-curse-of-marikana/,https://dailymaverick.co.za/article/2012-09-20-cosatu-congress-battling-the-rupture-of-mangaung-and-the-curse-of-marikana,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-20-marikana-the-next-goal-for-the-workers-split-from-num/,https://dailymaverick.co.za/article/2012-09-20-marikana-the-next-goal-for-the-workers-split-from-num,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-20-marikanas-theatre-of-the-absurd-claims-another-life/,https://dailymaverick.co.za/article/2012-09-20-marikanas-theatre-of-the-absurd-claims-another-life,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-21-bring-on-the-sanctions-bishop-paul-verryn-on-marikana-and-poverty/,https://dailymaverick.co.za/article/2012-09-21-bring-on-the-sanctions-bishop-paul-verryn-on-marikana-and-poverty,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-21-the-marikana-effect-a-sharp-drop-for-the-anc-in-septembers-by-elections/,https://dailymaverick.co.za/article/2012-09-21-the-marikana-effect-a-sharp-drop-for-the-anc-in-septembers-by-elections,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-24-marikana-putting-words-to-tragedy/,https://dailymaverick.co.za/article/2012-09-24-marikana-putting-words-to-tragedy,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-26-friendship-forged-in-the-depths-of-the-earth-and-strengthened-by-the-horror-of-marikana/,https://dailymaverick.co.za/article/2012-09-26-friendship-forged-in-the-depths-of-the-earth-and-strengthened-by-the-horror-of-marikana,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-09-27-unsafe-house-unsafe-job-the-foul-truth-about-living-conditions-at-marikana/,https://dailymaverick.co.za/article/2012-09-27-unsafe-house-unsafe-job-the-foul-truth-about-living-conditions-at-marikana,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-02-marikana-shaky-start-for-the-farlam-commission/,https://dailymaverick.co.za/article/2012-10-02-marikana-shaky-start-for-the-farlam-commission,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-04-nigerias-marikana-moment-yet-another-one/,https://dailymaverick.co.za/article/2012-10-04-nigerias-marikana-moment-yet-another-one,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-05-police-to-people-of-makause-march-and-therell-be-another-marikana/,https://dailymaverick.co.za/article/2012-10-05-police-to-people-of-makause-march-and-therell-be-another-marikana,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-12-marikana-the-debt-hole-that-fuelled-the-fire/,https://dailymaverick.co.za/article/2012-10-12-marikana-the-debt-hole-that-fuelled-the-fire,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-15-down-with-amcu-and-malema-cosatu-and-mk-sing-from-the-same-song-sheet/,https://dailymaverick.co.za/article/2012-10-15-down-with-amcu-and-malema-cosatu-and-mk-sing-from-the-same-song-sheet,2012,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-15-marikana-tragedy-marches-towards-platinum-rebellion/,https://dailymaverick.co.za/article/2012-10-15-marikana-tragedy-marches-towards-platinum-rebellion,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-18-marikana-after-wave-of-arrests-miners-to-return-to-strike/,https://dailymaverick.co.za/article/2012-10-18-marikana-after-wave-of-arrests-miners-to-return-to-strike,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-23-death-threats-blazing-guns-police-intimidation-spikes-alongside-the-marikana-commission/,https://dailymaverick.co.za/article/2012-10-23-death-threats-blazing-guns-police-intimidation-spikes-alongside-the-marikana-commission,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-23-marikana-commission-lawyers-draw-up-battle-lines/,https://dailymaverick.co.za/article/2012-10-23-marikana-commission-lawyers-draw-up-battle-lines,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-24-25-october-2012-a-day-of-reckoning-at-marikana/,https://dailymaverick.co.za/article/2012-10-24-25-october-2012-a-day-of-reckoning-at-marikana,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-24-marikana-commission-more-sides-pitch-in-more-mud-flung-in-ramaphosas-face/,https://dailymaverick.co.za/article/2012-10-24-marikana-commission-more-sides-pitch-in-more-mud-flung-in-ramaphosas-face,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-29-marikana-commission-check-book-justice-as-dead-miners-families-must-pay-their-own-way/,https://dailymaverick.co.za/article/2012-10-29-marikana-commission-check-book-justice-as-dead-miners-families-must-pay-their-own-way,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-30-marikana-commission-travel-pains-for-the-families/,https://dailymaverick.co.za/article/2012-10-30-marikana-commission-travel-pains-for-the-families,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-31-marikana-commission-colonel-johannes-bothas-tough-day-at-the-office/,https://dailymaverick.co.za/article/2012-10-31-marikana-commission-colonel-johannes-bothas-tough-day-at-the-office,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-31-marikana-commission-dali-mpofu-drops-new-torture-bombshell/,https://dailymaverick.co.za/article/2012-10-31-marikana-commission-dali-mpofu-drops-new-torture-bombshell,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-01-marikana-commission-the-forensic-expert-who-saw-little-heard-nothing-couldnt-say-much/,https://dailymaverick.co.za/article/2012-11-01-marikana-commission-the-forensic-expert-who-saw-little-heard-nothing-couldnt-say-much,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-02-marikana-police-torturing-their-way-to-intimidation/,https://dailymaverick.co.za/article/2012-11-02-marikana-police-torturing-their-way-to-intimidation,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-06-marikana-commission-dont-single-us-out-police/,https://dailymaverick.co.za/article/2012-11-06-marikana-commission-dont-single-us-out-police,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-06-marikana-commission-prima-facie-case-for-tampering-with-evidence/,https://dailymaverick.co.za/article/2012-11-06-marikana-commission-prima-facie-case-for-tampering-with-evidence,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-09-marikana-commission-sowing-the-killing-fields/,https://dailymaverick.co.za/article/2012-11-09-marikana-commission-sowing-the-killing-fields,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-12-marikana-commission-police-play-their-case/,https://dailymaverick.co.za/article/2012-11-12-marikana-commission-police-play-their-case,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-13-painting-marikanas-tragedy/,https://dailymaverick.co.za/article/2012-11-13-painting-marikanas-tragedy,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-15-marikana-commission-bishop-seoka-blames-police-unions-and-lonmin/,https://dailymaverick.co.za/article/2012-11-15-marikana-commission-bishop-seoka-blames-police-unions-and-lonmin,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-16-marikana-commission-spotty-police-evidence-continues/,https://dailymaverick.co.za/article/2012-11-16-marikana-commission-spotty-police-evidence-continues,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-20-marikana-commission-did-the-police-throw-away-their-own-rulebook/,https://dailymaverick.co.za/article/2012-11-20-marikana-commission-did-the-police-throw-away-their-own-rulebook,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-21-marikana-commission-what-happened-before-16-august-lonmin-and-police-videos-failed-to-capture-crucial-evidence/,https://dailymaverick.co.za/article/2012-11-21-marikana-commission-what-happened-before-16-august-lonmin-and-police-videos-failed-to-capture-crucial-evidence,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-22-marikana-commission-better-videos-of-16-august-but-still-not-much-to-see/,https://dailymaverick.co.za/article/2012-11-22-marikana-commission-better-videos-of-16-august-but-still-not-much-to-see,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-23-marikana-commission-cops-lonmin-hit-back-at-bishop-seoka/,https://dailymaverick.co.za/article/2012-11-23-marikana-commission-cops-lonmin-hit-back-at-bishop-seoka,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-27-marikana-commission-weapons-that-kill-and-a-row-over-subpoenas/,https://dailymaverick.co.za/article/2012-11-27-marikana-commission-weapons-that-kill-and-a-row-over-subpoenas,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-28-marikana-commission-amcu-president-flays-num/,https://dailymaverick.co.za/article/2012-11-28-marikana-commission-amcu-president-flays-num,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-29-marikana-commission-the-foiled-saviour-joseph-mathunjwa/,https://dailymaverick.co.za/article/2012-11-29-marikana-commission-the-foiled-saviour-joseph-mathunjwa,2012,already_screened
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-30-marikana-commission-joseph-mathunjwa-locks-horns-with-police/,https://dailymaverick.co.za/article/2012-11-30-marikana-commission-joseph-mathunjwa-locks-horns-with-police,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-30-marikana-who-shot-first/,https://dailymaverick.co.za/article/2012-11-30-marikana-who-shot-first,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-11-30-union-poster-feel-it-western-cape-marikana-is-here/,https://dailymaverick.co.za/article/2012-11-30-union-poster-feel-it-western-cape-marikana-is-here,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-12-04-marikana-commission-joseph-mathunjwa-still-stands-his-ground/,https://dailymaverick.co.za/article/2012-12-04-marikana-commission-joseph-mathunjwa-still-stands-his-ground,2012,explicit_case_title_review
Daily Maverick,https://www.dailymaverick.co.za/article/2012-12-05-marikana-commission-cornered-mathunjwa-let-out-by-dumisa-ntsebeza/,https://dailymaverick.co.za/article/2012-12-05-marikana-commission-cornered-mathunjwa-let-out-by-dumisa-ntsebeza,2012,explicit_case_title_review
