canonical_record_id,source_phase,title,year,publisher,url,text_sha256,text_words,analysis_ready,cross_phase_status,duplicate_representative_record_id,explicit_duplicate_review_status,broad_near_duplicate_review_status,textwide_near_duplicate_review_status,fresh_recovery_reconciliation_status,corpus_freeze_status
WEB-GOV-003,prior_screened_300,Government remembers Marikana tragedy,2020,Government Communication and Information System,https://www.gcis.gov.za/newsroom/media-releases/government-remembers-marikana-tragedy,b074680973488125e891351f3da6eaf95bbe2a0c6c25025be07d862ec79061eb,404,true,retained_prior_screened_record,WEB-GOV-003,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
WEB-GOV-004,prior_screened_300,Government commemorates the Marikana tragedy,2022,South African Government,https://www.gov.za/news/media-statements/government-commemorates-marikana-tragedy-16-aug-2022,4a38ce28730e60d4ed9699c5a105d1b4a7b8a46c2c9edc4c6a1c1db82da5633c,1336,true,retained_prior_screened_record,WEB-GOV-004,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-001,prior_screened_300,It's business unusual at 'improving' Lonmin – Munroe,2013,Mining Weekly,https://www.miningweekly.com/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,5e52197946b9863dbcd8ef595692499096a4eb828914ea7c5cda853e92e93366,1646,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-001,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-002,prior_screened_300,Lonmin accelerates union recognition process to ease Marikana tensions,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-accelerates-union-recognition-process-to-ease-marikana-tensions-2013-05-17,61f50753486dabdbcc023537304b381b492b0bec72b8a22bf746d16b3c61c268,587,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-002,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-003,prior_screened_300,Lonmin to derecognise smaller unions in favour of AMCU,2013,Mining Weekly,https://www.miningweekly.com/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-23,a0ac1cdffa5fe26d47c2c621ce789456afc6aa1b5d583d72c1979254dc40100a,731,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-003,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-004,prior_screened_300,NUM wants members at Lonmin back,2013,Mining Weekly,https://www.miningweekly.com/article/num-wants-members-at-lonmin-back-2013-07-11,842da6df9a802193103c4ba60e9cd107231db88b36236aeafaab9c14d983fc77,503,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-004,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-005,prior_screened_300,NUM member gunned down at Lonmin hostel,2013,Mining Weekly,https://www.miningweekly.com/article/num-member-gunned-down-at-lonmin-hostel-2013-06-03,51cbe56ff22f5e3b0b3e2aef29ed5a498d690ef3022e26b10af2a216582c372f,618,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-005,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-006,prior_screened_300,AMCU postpones Lonmin strike action pending meeting with Motlanthe,2013,Mining Weekly,https://www.miningweekly.com/article/amcu-postpones-strike-action-pending-meeting-with-motlanthe-2013-06-13,60c6dde586aa124b1db6dd6ea6255c8c9c7dc2f727f084c3cc3203dcdb43c1d6,1044,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-006,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-007,prior_screened_300,Union puts chamber on spot over alleged Lonmin breach,2013,Mining Weekly,https://www.miningweekly.com/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-09-06,5514197e59e61e2a6b404294af115e5bd01688436ff578b7bf8f125ca30925e9,1368,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-007,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
expanded_media_candidates__EXP-MEDIA-008,prior_screened_300,Solidarity gears up for Lonmin strike,2013,Mining Weekly,https://www.miningweekly.com/article/solidarity-gears-up-for-lonmin-strike-2013-08-19,938cc080fd5f0ff94637d01f410c63ea00e7941dfba6f935d2ee09925dac035b,605,true,retained_prior_screened_record,expanded_media_candidates__EXP-MEDIA-008,retained_after_explicit_duplicate_review,retained_after_broad_near_duplicate_review,retained_after_textwide_duplicate_review,fresh_recovery_verified,frozen_inclusion
